# Reviewed semantic identities for the GAME actor-definition, live-pool, transform, lifecycle, and damage core.
# Every row was checked with kf sema addr/disasm --blocks/xref/strings/match, adjacent/caller review, Ghidra,
# and the pinned Psy-Q FID/vendor inventories. The 0x8002cab4 row intentionally remains address-named.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8002ca78	0x3c	actor-pool	no reconstruction unit	one five-block loop; stride 0x48; returns null after 128 records	sole data input is actor_pool; tests slot_state against 0xff	v0 returns a record pointer or zero; no live arguments	absent from vendored/FID inventories	actor_pool_find_free	KfActor * actor_pool_find_free(void)	supported
GAME.EXE	0x8002cab4	0x20	unresolved	no reconstruction unit	one call; straight-line wrapper; jr frame delay	calls actor_pool_find_free and discards v0; no admitted callers	no live arguments and no surviving result	12 generic 0x20-byte FID hits are all ambiguous multi-image/multi-identity collisions	func_8002cab4	void func_8002cab4(void)	reviewed unresolved; signature supported, source purpose unknown
GAME.EXE	0x8002cad4	0x70	actor-context	no reconstruction unit	two optional-copy branches; unaligned 8-byte copy uses lwl/lwr/swl/swr	sole caller supplies player_position_snapshot and player_rotation_snapshot each frame; destinations are adjacent actor globals	a0 is optional 16-byte VECTOR; a1 is optional 8-byte SVECTOR	absent from vendored/FID inventories	actor_set_player_transform	void actor_set_player_transform(const VECTOR *position, const SVECTOR *rotation)	supported
GAME.EXE	0x8002cb44	0x74	actor-transform	no reconstruction unit	two signed divisions by 2000 plus compiler traps; leaf return	writes cell_x/cell_z from actor position.x/position.z; currently no admitted callers	a0 is a KfActor pointer; no return value	absent from vendored/FID inventories	actor_update_cell_from_position	void actor_update_cell_from_position(KfActor *actor)	supported effect; original reachability remains unknown
GAME.EXE	0x8002cbb8	0x9c	actor-transform	no reconstruction unit	three word copies and two signed divisions by 2000; leaf return	three common-initialization callers pass KfActor plus stack KfVec3i	live a0/a1 and field widths prove actor and const position pointers	absent from vendored/FID inventories	actor_set_position	void actor_set_position(KfActor *actor, const KfVec3i *position)	supported
GAME.EXE	0x8002cc54	0x10	actor-transform	100.000000000%	three signed-halfword stores; jr delay owns z store	three common-initialization callers; offsets 0x2c/0x2e/0x30 are the actor rotation triplet	a0 actor plus three s16 values; no return value	absent from vendored/FID inventories	actor_set_rotation	void actor_set_rotation(KfActor *actor, s16 x, s16 y, s16 z)	supported; exact C body
GAME.EXE	0x8002cc64	0xc4	actor-lifecycle	no reconstruction unit	2 calls; 3 branches; definition stride arithmetic; common return	loads initial_health from actor_definitions, seeds rotation.y, clears action state, and marks the occupied map cell	a0 is the initialized KfActor pointer; no return value	absent from vendored/FID inventories; rand is only a callee	actor_initialize	void actor_initialize(KfActor *actor)	supported
GAME.EXE	0x8002cd28	0xa4	actor-lifecycle	no reconstruction unit	5 calls; straight-line common initializer	uses current_actor tile/local coordinates to build KfVec3i, then set position/rotation and initialize	no live arguments or return value	absent from vendored/FID inventories	actor_initialize_current	void actor_initialize_current(void)	supported
GAME.EXE	0x8002cdcc	0xbc	actor-lifecycle	no reconstruction unit	5 calls; straight-line pool-indexed common initializer	indexes actor_pool at 0x48, marks lifecycle live, builds position from tile/local fields, then initializes	a0 is masked to u16 before stride arithmetic; no return value	absent from vendored/FID inventories	actor_initialize_slot	void actor_initialize_slot(u16 actor_index)	supported
GAME.EXE	0x8002ce88	0x40	actor-pool	no reconstruction unit	one three-block 128-record loop; 0x48 stride	startup caller after the 0x2b48 subsystem memset; writes slot_state 0xff, lifecycle zero, and offset 0x34 zero	no arguments or return value	absent from vendored/FID inventories	actor_pool_clear	void actor_pool_clear(void)	supported
GAME.EXE	0x8002cec8	0xc	actor-lifecycle	100.000000000%	two byte stores; jr delay owns action_timer reset	six callers select actions 2, 5, 6 and others on spawn/hit/death paths	a0 actor pointer and a1 u8 action; no return value	absent from vendored/FID inventories	actor_set_action	void actor_set_action(KfActor *actor, u8 action)	supported; exact C body
