source_enum	members	decision	current_enums	member_reuse	reason
include/kf/animation.h:KfAnimationClip	KF_ANIMATION_CLIP_FIRST=0;KF_ANIMATION_CLIP_SECOND=1;KF_ANIMATION_CLIP_THIRD=2;KF_ANIMATION_CLIP_FOURTH=3;KF_ANIMATION_CLIP_NONE=255	retain	include/kf/animation.h:KfAnimationClip		Clip IDs address animation resources; actor animation slots select actions within definitions and are not interchangeable clip IDs.
include/kf/animation.h:KfAnimationBlendDirection	KF_ANIMATION_BLEND_FORWARD=0;KF_ANIMATION_BLEND_REVERSE=1	retain	include/kf/animation.h:KfAnimationBlendDirection		Forward/reverse is the animation blend direction; actor movement uses signed -1/+1 and OPEN transition modes have different encodings.
include/kf/audio.h:KF_AUDIO_VOICE_SLOTS	KF_AUDIO_VOICE_SLOTS=10;KF_AUDIO_MAX_VOLUME=127;KF_AUDIO_DEFAULT_MAX_DISTANCE=16000;KF_AUDIO_DEFAULT_ATTENUATION_DISTANCE=28000;KF_AUDIO_SEQUENCE_CAPACITY=2;KF_AUDIO_TRACKS_PER_SEQUENCE=1;KF_AUDIO_VOICE_INACTIVE=-1;KF_AUDIO_VAB_AUTO=-1;KF_AUDIO_VAB_UNAVAILABLE=-1;KF_SOUND_TONE_INDEX_MASK=15;KF_SOUND_PACKED_NOTE_SHIFT=8	canonical	include/kf/audio.h:KF_AUDIO_VOICE_SLOTS		Shared audio capacity, volume and attenuation settings remain here; the extended boss/effect attenuation pair joins the common API policy. VAB allocation/error and voice-free sentinels retain distinct operations.
include/kf/audio.h:KfAudioSequenceState	KF_AUDIO_SEQUENCE_INACTIVE=0;KF_AUDIO_SEQUENCE_ACTIVE=1	retain	include/kf/audio.h:KfAudioSequenceState		Sequence activity belongs to the sequence controller, independent of sprite visibility and cache occupancy.
include/kf/audio.h:KfAudioStopMode	KF_AUDIO_STOP_IMMEDIATE=0;KF_AUDIO_STOP_FADE=1	retain	include/kf/audio.h:KfAudioStopMode		Immediate/faded audio stop is already shared across GAME/OPEN; neither encoding matches the cylinder lifecycle modes.
include/kf/audio.h:KfAudioPlaybackResult	KF_AUDIO_NOT_PLAYED=0;KF_AUDIO_PLAYED=1	retain	include/kf/audio.h:KfAudioPlaybackResult		Playback reports whether a voice was started; resource-load success uses the opposite zero/one convention.
include/kf/cd_file.h:KF_CD_SECTOR_BYTES	KF_CD_SECTOR_BYTES=2048;KF_CD_SECTOR_SHIFT=11;KF_CD_PATH_BYTES=80;KF_CD_READ_POLL=1;KF_CD_READ_STOP_ATTEMPT=100	retain	include/kf/cd_file.h:KF_CD_SECTOR_BYTES		CD sector representation and path-buffer extent are shared. Read polling and stop-attempt values control the SDK read loop, not menu status.
include/kf/cd_file.h:KfResourceLoadResult	KF_RESOURCE_LOADED=0;KF_RESOURCE_LOAD_FAILED=1	retain	include/kf/cd_file.h:KfResourceLoadResult		Resource loading returns zero on success and one on failure; audio playback and accepted menu results have different contracts.
include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING	KF_COMBAT_COMPONENT_CUTTING=0;KF_COMBAT_COMPONENT_STRIKING=1;KF_COMBAT_COMPONENT_PIERCING=2;KF_COMBAT_PHYSICAL_COMPONENT_COUNT=3;KF_COMBAT_COMPONENT_HOLY=3;KF_COMBAT_COMPONENT_FIRE=4;KF_COMBAT_COMPONENT_COUNT=5	canonical	include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING		Canonical cutting/striking/piercing/holy/fire order now serves weapon and actor arrays directly, including physical/full component counts.
include/kf/combat.h:KF_DAMAGE_SUBUNITS_PER_HP	KF_DAMAGE_SUBUNITS_PER_HP=10	retain	include/kf/combat.h:KF_DAMAGE_SUBUNITS_PER_HP		The decimal HP damage subunit is already shared by combat producers/consumers; actor damage scaling and player charge use different scales.
