# MANUALLY MANAGED - shared packed screen-coordinate field; no algorithm or numeric referent changes.
# All six semantic queries, full retail bodies, constrained callers, adjacent functions, source history and SDK headers reviewed before editing. Baseline db05496, probe-gcc257-o2-g0.
image	va	size	campaign	initial_state	control_flow	callers_and_referents	types_and_constants	vendor_control	first_hypothesis	final_signature	verdict
OPEN.EXE	0x8001738c	0xcc	packed-projection	100.000000000%	56-byte frame; count >=1000 rejection; descending loop to -1; eight-byte strides; return delay restores frame	three callers; RotTransPers, ReadSZ2 and debug_printf_sink; current vertices, projected array and projection shift; POINT OVER diagnostic	s32 count; SDK long pointer receives packed XY at +0; halfword p2 at +6 and depth at +4	custom traversal; separately attributed SDK projection calls	long sxy matches the SDK output and downstream lw without a cast	void tmd_project_vertices(s32 count)	100.000000000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
OPEN.EXE	0x80017458	0xa4	packed-projection	100.000000000%	64-byte frame; zero guard and descending loop; eight-byte strides; return delay restores frame	opening_entity_render caller; RotTransPers and ReadSZ2; current vertices, projected array and shift; no strings	s32 count; packed XY word; arithmetic perspective shift and halfword stores	custom projection policy over vendored SDK calls	use the shared packed word while preserving arithmetic and ordering	void tmd_project_vertices_perspective_right(s32 count)	100.000000000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
OPEN.EXE	0x800174fc	0xac	packed-projection	100.000000000%	64-byte frame; descending count loop; return delay restores frame	no decoded caller; RotTransPers and ReadSZ2; current vertices and projected array; no strings	s32 count and u8 shift; doubled low-halfword perspective; arithmetic word depth shift	custom traversal and depth policy; SDK calls remain vendored	remove only the now-redundant SDK output cast	void tmd_project_vertices_shift(s32 count, u8 shift)	100.000000000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
OPEN.EXE	0x800175a8	0xa4	packed-projection	100.000000000%	72-byte frame; guarded descending loop; independent X/Y halfword stores; return delay restores frame	no decoded caller; RotTrans; current vertices and projected array; no strings	s32 count; authentic VECTOR output; low X/Y at +0/+2 and Z at +6/+4	game-owned array loop, not the separately vendored RotTrans body	preserve halfword writers through authentic DVECTOR view of packed sxy	void tmd_transform_vertices(s32 count)	100.000000000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
OPEN.EXE	0x80018344	0x2a4	packed-projection	93.455620000%	64-byte frame; u32 postdecrement packet loop; F3/FT3 dispatch; checked signed divide and shared enqueue tail; return delay restores frame	one opening_entity_render caller; eight calls; current asset, projected array, material RGB and ordering table; no strings	u16 object and s16 bias; lw XY; signed lh depth; header stride (header>>6)&0x3fc; depth >=5, mask 0x3fff	custom packet and depth policy around separately attributed SDK calls	read the shared packed word directly; preserve existing wider-owner residue	void render_enqueue_unlit_triangles(u16 object_index, s16 depth_bias)	93.455620000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
GAME.EXE	0x8001c60c	0x9c	packed-projection	98.846150000%	64-byte frame; zero guard and count-minus-one loop; eight-byte strides; return delay restores frame	nine callers; RotTransPers and ReadSZ2; two validated array/cursor references; no strings	s32 count; packed word at +0; doubled low perspective at +6 and depth at +4	custom traversal; SDK projection remains vendored	remove only the now-redundant SDK output cast	void tmd_project_vertices(s32 count)	98.846150000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
GAME.EXE	0x8001c6a8	0xac	packed-projection	98.953490000%	64-byte frame; guarded descending loop; return delay restores frame	one weapon caller; RotTransPers and ReadSZ2; two validated array/cursor references; no strings	s32 count and u8 shift; packed XY word and signed depth fields	custom weapon projection policy; SDK calls remain vendored	use the same scalar field as OPEN, retaining all depth conversions	void tmd_project_vertices_shift(s32 count, u8 shift)	98.953490000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
GAME.EXE	0x8001c754	0xa4	packed-projection	100.000000000%	72-byte frame; descending loop; independent X/Y halfword stores; return delay restores frame	one effect-sprite caller; RotTrans; two validated array/cursor references; no strings	s32 count; authentic VECTOR output and SVECTOR input; low halves at +0/+2/+6/+4	game-owned loop around vendored RotTrans	preserve the authentic DVECTOR halfword view while canonical readers use long	void tmd_transform_vertices(s32 count)	100.000000000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
GAME.EXE	0x8001c7f8	0xf38	packed-projection	52.039013000%	88-byte retail frame; u32 primitive loop and eleven-way indirect mode switch; packet allocation checks; return delay restores frame	seven callers; 46 proven outgoing calls/indirect transfers, 35 validated references and 11 candidate internal jumps; projected base current-asset slot +488; no strings	u16 object, s16 bias; lw XY, signed lh sz/p2; prepared vertex byte offsets; candidates remain unpromoted	custom TMD/GPU dispatch; SDK callees excluded from game progress	replace packed-word read casts only; retain wider ownership and CFG residues	void render_enqueue_tmd(u16 object_index, s16 depth_bias)	52.039013000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
GAME.EXE	0x8001d730	0x6e8	packed-projection	60.490950000%	96-byte frame; u32 packet loop; modes 0x34/0x3c/0x24/0x2c; return delay restores frame	one actor caller; 15 calls and 15 validated references; projected base plus16040/16042 texture state and model colour; no strings	u16 object, s16 bias; eight-byte projected records; packed coordinates and signed depths	game-specific model policy around vendored SDK routines	direct packed reads only; preserve current asset/base address-formation residue	void render_enqueue_model(u16 object_index, s16 depth_bias)	60.490950000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
GAME.EXE	0x8001de18	0x418	packed-projection	17.954199000%	80-byte frame; project then u32 packet traversal; FT3/FT4 to GT3/GT4; return delay restores frame	one map-cell caller; 16 calls and seven validated references; allocator cursor/end checks; NormalColorCol and seven DpqColor sites; no strings	u16 object; packed XY and signed sz/p2; average depth plus200, signed <16384 and mask0x3fff	custom map policy; SDK packet/lighting bodies remain vendored	direct packed reads only; do not conflate GAME allocator state with OPEN allocator calls	void render_enqueue_map(u16 object_index)	17.954199000% unchanged; entire reconstructed object SHA-256 identical before/after actual rebuild; all instructions and ordered relocations preserved; existing non-exact results remain unbanked
