# Reviewed semantic identities for GAME map-object range queries, effect spawning, and link actions.
# Every row was checked with kf sema addr/disasm --blocks/xref/xref --callees/strings/match, Ghidra,
# exact caller argument flow, the admitted data owners, and the pinned Psy-Q FID/vendor inventories.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x80031450	0xa8	map-object-query	100.000000000% exact	7 CFG blocks; signed x/z square rejection followed by fixed-point radial test	two pool-search callers; reads object positions and calls SquareRoot0	a0 is a read-only KfMapObject; a1/a2 are x/z points; a3 bounds every accepted result; v0 is distance or -1	absent from vendored/FID inventories	map_object_distance_to_point	s32 map_object_distance_to_point(const KfMapObject *object, s32 point_x, s32 point_z, s32 max_distance)	supported
GAME.EXE	0x800314f8	0xcc	map-object-query	100.000000000% exact	7 CFG blocks; fixed 190-record scan with free/radius guards	collision and runtime callers; indexes map_object_pool at 0x2c and definition collision_radius at 8-byte stride	a0/a1 are passed as point x/z; a2 is added to unsigned definition radius; v0 sign-extends the index or -1	absent from vendored/FID inventories	map_object_pool_find_near_point	s32 map_object_pool_find_near_point(s32 point_x, s32 point_z, s32 radius_padding)	supported
GAME.EXE	0x800315c4	0x1c0	map-object-query	no reconstruction unit	13 CFG blocks; start-index scan, type split, orientation transform, and common range test	interaction dispatcher repeatedly resumes at previous index plus one; uses 190x0x2c pool, 160x8 definitions, matrix_set_rotation_y, ApplyMatrix, and distance helper	a0 is sign-tested as a 16-bit start index; a1/a2 are x/z; a3 extends definition radius; v0 returns index or -1	absent from vendored/FID inventories	map_object_pool_find_interaction_from	s32 map_object_pool_find_interaction_from(s16 start_index, s32 point_x, s32 point_z, s32 radius_padding)	supported; interaction label follows the caller's iteration and dispatch behavior
GAME.EXE	0x80031784	0x20	map-object-action	100.000000000% exact	3 CFG blocks; one idle guard and two field stores	fourteen calls from load, spawn, trigger, and runtime update families; writes action 0x28 and timer 0x2a	a0 is written as KfMapObject; a1 is stored as u8; no result escapes	absent from vendored/FID inventories	map_object_start_action_if_idle	void map_object_start_action_if_idle(KfMapObject *object, KfMapObjectOperation action)	proven body; semantic field/action names remain supported
GAME.EXE	0x800317a4	0x90	map-object-effect-pool	no reconstruction unit	7 CFG blocks; bounded reserved-slot scan with free fast path and wrapping sequence comparison	three effect spawners pass first indices 160, 170, or 180 and count ten; reads slot spawn_sequence at 0x22	a0/a2 are masked to u16; a1 is a 16-bit countdown; v0 is a pool pointer	absent from vendored/FID inventories	map_object_effect_pool_acquire	KfMapObject * map_object_effect_pool_acquire(u16 first_index, u16 count, u16 sequence)	supported
GAME.EXE	0x80031834	0x194	map-object-effect	no reconstruction unit	16 CFG blocks; reserved-band selection, transform copy, coordinate conversion, and object-ID action ranges	actor action caller passes boolean 0/1, definition object ID, actor position, and negative half-height; uses sequence counters 170/180, rand, and action initializer	a0 is a boolean branch; a1 is stored as object ID; a2 supplies three s32 coordinates; a3 offsets y; no result escapes	absent from vendored/FID inventories	map_object_spawn_effect	void map_object_spawn_effect(KfMapObjectDropSource kind, KfObjectId object_id, const VECTOR *position, s32 y_offset)	supported
GAME.EXE	0x800319c8	0x18c	map-object-effect	no reconstruction unit	15 CFG blocks; reserved-slot allocation, random radial offset, coordinate conversion, and action setup	sole actor-death caller supplies a randomized definition parameter, actor position, and negative half-height; uses sequence counter 160, rand, rsin, and rcos	a0 is stored as u16 effect data; a1 supplies three s32 coordinates; a2 offsets y; no result escapes	absent from vendored/FID inventories	map_object_spawn_actor_debris	void map_object_spawn_actor_debris(u16 effect_parameter, const VECTOR *origin, s32 y_offset)	supported; debris is established by the actor-death effect path, not an original asset name
GAME.EXE	0x80031b54	0xf0	map-object-link	no reconstruction unit	12 CFG blocks; fixed 190-record scan with action-range and definition-type cases	boss death passes link 13; event and runtime callers pass stored object link bytes; starts idle linked objects through the action helper	a0 is masked to u8 and compared with object byte 0x20; no result escapes	absent from vendored/FID inventories	map_object_pool_trigger_link	void map_object_pool_trigger_link(u8 link_id)	supported
GAME.EXE	0x80031c44	0x84	map-object-link	100.000000000% exact	6 CFG blocks; fixed 190-record scan admits definition behavior types 0 through 8	event caller passes link 55; four floor-restore call sites pass 51 or 52; clears matching object byte 0x20	a0 is masked to u8 and compared/stored as one byte; no result escapes	absent from vendored/FID inventories	map_object_pool_clear_link	void map_object_pool_clear_link(u8 link_id)	supported and exact; repaired prior type-8-only predicate; game-map-object-clearing.md
GAME.EXE	0x80031cc8	0xc18	map-object-dispatch	no reconstruction unit	118 CFG blocks; fixed 190-record loop with a 99-way action switch and common tail	sole direct caller is game_main_loop immediately after actor_pool_update; indexes map_object_action_jump_table by action byte and uses map_object_pool, gameplay_sound_refs, known map-object helpers, audio, trig, rand, and effect spawning	no live arguments; every path returns void after the 190-record loop	absent from vendored/FID inventories	map_object_pool_update	void map_object_pool_update(void)	supported; raw table targets prove action values 0..98 while individual action meanings remain WIP
