# Reviewed semantic identities for the OPEN fixed-point matrix, vector, angle, and diagnostic helpers.
# Each row has image-qualified disassembly/CFG, xref, call, string, adjacency, source-history, and vendor/FID review.
image	va	extent	family	body_and_cfg	call_and_data_evidence	vendor_negative_control	final_name	final_signature	verdict
OPEN.EXE	0x800158d0	0x70	matrix	writes fixed-point identity/X sine-cosine pattern	two proven callers; rsin and rcos only	game wrapper distinct from linked Sony RotMatrixX	matrix_set_rotation_x	void matrix_set_rotation_x(s16 angle, MATRIX *matrix)	supported by fields, calls, and cross-overlay lineage; exact C body
OPEN.EXE	0x80015940	0x70	matrix	writes fixed-point identity/Y sine-cosine pattern	three proven callers; rsin and rcos only	game wrapper distinct from linked Sony RotMatrixY	matrix_set_rotation_y	void matrix_set_rotation_y(s16 angle, MATRIX *matrix)	supported by fields, calls, and cross-overlay lineage; exact C body
OPEN.EXE	0x800159b0	0x70	matrix	writes fixed-point identity/Z sine-cosine pattern	sole caller is matrix_set_rotation_yxz; rsin and rcos only	game wrapper distinct from linked Sony RotMatrixZ	matrix_set_rotation_z	void matrix_set_rotation_z(s16 angle, MATRIX *matrix)	supported by fields, calls, and cross-overlay lineage; exact C body
OPEN.EXE	0x80015a20	0x68	matrix	constructs Rz and Rx; MulMatrix; constructs Ry; MulMatrix2	sole OPEN caller supplies three signed-short angles and a matrix; complete call sequence yields Ry * Rx * Rz	absent from vendored/FID inventories	matrix_set_rotation_yxz	void matrix_set_rotation_yxz(const KfEulerAngles *angles, MATRIX *matrix)	supported by CFG, fields, caller, and cross-overlay lineage; exact C body
OPEN.EXE	0x80015a88	0x84	debug-matrix	four straight-line diagnostic calls; reads the three signed-short rows at offsets 0 through 16	"Dump Matrix\\n" followed by three "  [%05d,%05d,%05d]\\n" calls to the empty variadic diagnostic sink	absent from vendored/FID inventories	debug_dump_matrix	void debug_dump_matrix(const MATRIX *matrix)	supported by complete body, strings, SDK MATRIX layout, and callee ABI; exact C body
OPEN.EXE	0x80015b0c	0xd4	angle-vector	constructs +Z; applies X(-pitch) then Y(yaw)	no incoming references; two ApplyMatrix calls; complete instruction shape matches GAME 0x80014d34; shared SVECTOR declaration follows GAME consumers (modern-type-checking.md)	absent from vendored/FID inventories	pitch_yaw_to_forward_vector	void pitch_yaw_to_forward_vector(const KfPitchYaw *angles, SVECTOR *direction)	supported by complete body and cross-overlay lineage; exact C body
OPEN.EXE	0x80015be0	0x5c	vector	three signed-short products shifted right by 12 and stored in place	no incoming references; byte-identical to GAME 0x80014e48; shared SVECTOR declaration follows GAME consumers (modern-type-checking.md)	absent from vendored/FID inventories	vector3s_scale_shift12	void vector3s_scale_shift12(s16 scale, SVECTOR *vector)	supported by complete body, family order, and cross-overlay lineage; exact C body
OPEN.EXE	0x80015c3c	0x5c	vector	second three signed-short products shifted right by 12 and stored in place	no incoming references; byte-identical to GAME 0x80014ee4	absent from vendored/FID inventories	vector3s_scale_shift12_alt	void vector3s_scale_shift12_alt(s16 scale, s16 *vector)	supported by complete body, family order, and cross-overlay lineage; exact C body
OPEN.EXE	0x80015c98	0x3c	angle	12-bit modular subtraction and two tolerance comparisons	no incoming references; byte-identical to GAME 0x80014f6c	absent from vendored/FID inventories	angle_within_tolerance	bool angle_within_tolerance(s32 angle, s32 target, s16 tolerance)	supported by complete CFG and cross-overlay lineage; exact C body
OPEN.EXE	0x80015cd4	0x10	angle	leaf test of modular delta <= 0x800	no incoming references; byte-identical to GAME 0x80014fa8	absent from vendored/FID inventories	angle_mod_delta_le_half_turn	bool angle_mod_delta_le_half_turn(s32 angle, s32 reference)	supported by complete body and cross-overlay lineage; exact C body
OPEN.EXE	0x80015ce4	0xb0	angle-vector	quadrant CFG around two catan calls; returns a value in the 12-bit angle domain	sole OPEN caller passes two horizontal coordinate deltas; byte-identical instruction shape to GAME 0x80014fb8	absent from vendored/FID inventories	vector_xz_to_angle	s32 vector_xz_to_angle(s32 x, s32 z)	supported by CFG, caller, and cross-overlay lineage; exact C body
OPEN.EXE	0x80015d94	0x40	fixed-vector	shifts two signed inputs by three, squares them, calls SquareRoot0 on their sum, then shifts the result by three	no incoming references; raw prefix at 0x80015d94 feeds v0 into the framed tail formerly mis-carved at 0x80015db4; complete shape matches GAME 0x80015068	absent from vendored/FID inventories	fixed_vector2_length	s32 fixed_vector2_length(s32 x, s32 y)	supported by corrected boundary, complete body, and cross-overlay lineage; exact C body
OPEN.EXE	0x8001a814	0x18	debug	leaf homes a0-a3 in the O32 caller argument area and returns	five callers pass literal format strings; variadic empty C body reproduces all six instructions	absent from vendored/FID inventories	debug_printf_sink	void debug_printf_sink(const char *format, ...)	supported by complete body, callers, and variadic ABI; exact C body
