id	file	line	function	arg_index	definition	expansion_occurrence	domains	images	modes	before_line	before_function	before_name	final_name	decision	semantic_reason	reviewer
P00017	include/kf/audio.h	124	audio_play_spatial	0	0	0	SoundRef	GAME.EXE|OPEN.EXE	modern|retail	124	audio_play_spatial	sound	sound	retain	Packed sound program/tone/note input; shared GAME and OPEN parameter meaning despite different panning policies.	root
P00018	include/kf/audio.h	124	audio_play_spatial	1	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	124	audio_play_spatial	position	position	retain	World position of the sound emitter used to compute listener-relative distance and bearing in both images.	root
P00022	include/kf/audio.h	127	audio_play_spatial_default_range	0	0	0	SoundRef	GAME.EXE|OPEN.EXE	modern|retail	127	audio_play_spatial_default_range	sound	sound	retain	Forwards the sound selector unchanged while supplying default spatial distances.	root
P00023	include/kf/audio.h	127	audio_play_spatial_default_range	1	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	127	audio_play_spatial_default_range	position	position	retain	Forwards the sound emitter position unchanged to spatial playback.	root
P00025	include/kf/audio.h	129	audio_play_spatial_range	0	0	0	SoundRef	GAME.EXE|OPEN.EXE	modern|retail	129	audio_play_spatial_range	sound	sound	retain	Forwards the sound selector unchanged through the range wrapper in both images.	root
P00026	include/kf/audio.h	129	audio_play_spatial_range	1	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	129	audio_play_spatial_range	position	position	retain	Forwards the sound emitter world position through the range wrapper in both images.	root
P00030	include/kf/audio.h	131	sound_ref_play	0	0	0	SoundRef	GAME.EXE|OPEN.EXE	modern|retail	131	sound_ref_play	sound	sound	retain	SoundRef supplies the sound identity played with the explicit volume in both images.	root
P00032	include/kf/audio.h	132	sound_ref_key_off_bank0	0	0	0	SoundRef	GAME.EXE|OPEN.EXE	modern|retail	132	sound_ref_key_off_bank0	sound	sound	retain	SoundRef selects bank-zero tone/program for key-off in both images.	root
P00033	include/kf/audio.h	134	audio_set_listener_transform	0	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	134	audio_set_listener_transform	position_or_null	position_or_null	retain	Independent optional listener-position update; NULL retains the previous listener position.	root
P00034	include/kf/audio.h	134	audio_set_listener_transform	1	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern|retail	134	audio_set_listener_transform	rotation_or_null	rotation_or_null	retain	Independent optional listener-rotation update; NULL retains the previous listener rotation.	root
P00036	include/kf/audio.h	137	audio_stop_sequence	0	0	0	KfAudioStopMode	GAME.EXE|OPEN.EXE	modern|retail	137	audio_stop_sequence	mode	stop_mode	rename	Controls immediate stop versus volume fade before sequence shutdown; explicitly names the enum's policy.	root
P00055	include/kf/game_actor.h	86	operator++	0	1	0	KfActorActionProgress	GAME.EXE|OPEN.EXE	modern	86	operator++	value	value	retain	Mutable actor action-progress counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00056	include/kf/game_actor.h	86	operator++	0	1	0	KfActorActionProgress	GAME.EXE|OPEN.EXE	modern	86	operator++	value	value	retain	Mutable actor action-progress counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00058	include/kf/game_actor.h	86	operator--	0	1	0	KfActorActionProgress	GAME.EXE|OPEN.EXE	modern	86	operator--	value	value	retain	Mutable actor action-progress counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00059	include/kf/game_actor.h	86	operator--	0	1	0	KfActorActionProgress	GAME.EXE|OPEN.EXE	modern	86	operator--	value	value	retain	Mutable actor action-progress counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00061	include/kf/game_actor.h	180	operator&	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator&	lhs	lhs	retain	Left operand of intersection for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00062	include/kf/game_actor.h	180	operator&	1	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator&	rhs	rhs	retain	Right input operand of intersection for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00063	include/kf/game_actor.h	180	operator&=	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator&=	lhs	lhs	retain	Left operand and mutable destination of intersection assignment for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00064	include/kf/game_actor.h	180	operator&=	1	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator&=	rhs	rhs	retain	Right input operand of intersection assignment for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00065	include/kf/game_actor.h	180	operator^	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator^	lhs	lhs	retain	Left operand of exclusive-or for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00066	include/kf/game_actor.h	180	operator^	1	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator^	rhs	rhs	retain	Right input operand of exclusive-or for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00067	include/kf/game_actor.h	180	operator^=	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator^=	lhs	lhs	retain	Left operand and mutable destination of exclusive-or assignment for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00068	include/kf/game_actor.h	180	operator^=	1	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator^=	rhs	rhs	retain	Right input operand of exclusive-or assignment for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00069	include/kf/game_actor.h	180	operator|	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator|	lhs	lhs	retain	Left operand of union for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00070	include/kf/game_actor.h	180	operator|	1	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator|	rhs	rhs	retain	Right input operand of union for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00071	include/kf/game_actor.h	180	operator|=	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator|=	lhs	lhs	retain	Left operand and mutable destination of union assignment for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00072	include/kf/game_actor.h	180	operator|=	1	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator|=	rhs	rhs	retain	Right input operand of union assignment for packed actor effect-kind bits and the paired-emission flag; lhs/rhs describe operator position, not a game-object role.	root
P00073	include/kf/game_actor.h	180	operator~	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	180	operator~	value	value	retain	Unary operand whose packed actor effect-kind bits and the paired-emission flag are complemented in the opted-in storage width.	root
P00074	include/kf/game_actor.h	184	actor_effect_kind_from_payload	0	1	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern	184	actor_effect_kind_from_payload	payload	payload	retain	The packed actor effect payload has already been masked by its caller before enum decoding.	root
P00075	include/kf/game_actor.h	341	actor_animation_crossed_phase	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	341	actor_animation_crossed_phase	actor	actor	retain	Reads this actor's current and prior animation phase to test a crossing.	root
P00077	include/kf/game_actor.h	342	actor_advance_animation_clamped	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	342	actor_advance_animation_clamped	actor	actor	retain	The supplied actor owns the animation phase advanced and clamped by this helper.	root
P00079	include/kf/game_actor.h	343	actor_advance_animation_wrapped	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	343	actor_advance_animation_wrapped	actor	actor	retain	The supplied actor owns the animation phase advanced with wrapping.	root
P00083	include/kf/game_actor.h	346	actor_bind_current	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	346	actor_bind_current	actor	actor	retain	Publishes this actor and its definition into the current actor context.	root
P00092	include/kf/game_actor.h	349	actor_apply_damage	8	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern|retail	349	actor_apply_damage	hit_flags	hit_flags	retain	Effect-type bits are masked to determine player damage credit; this is a hit-specific role of the shared flags.	root
P00093	include/kf/game_actor.h	350	actor_definitions_load	0	0	0	KfActorDefinitionTable	GAME.EXE|OPEN.EXE	modern|retail	350	actor_definitions_load	definitions	definitions	retain	Copies the complete source actor-definition table into the runtime owner.	root
P00094	include/kf/game_actor.h	351	actor_initialize	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	351	actor_initialize	actor	actor	retain	Initializes lifecycle, animation, health, rotation and occupancy of this actor.	root
P00096	include/kf/game_actor.h	354	actor_move_along_heading	0	0	0	KfActorMoveDirection	GAME.EXE|OPEN.EXE	modern|retail	354	actor_move_along_heading	direction	direction	retain	Signed forward/backward selection determines whether the computed heading vector is negated.	root
P00097	include/kf/game_actor.h	354	actor_move_along_heading	1	0	0	KfActorCollisionPolicy	GAME.EXE|OPEN.EXE	modern|retail	354	actor_move_along_heading	stop_on_collision	collision_policy	rename	Selects collision steering versus stopping; stop_on_collision sounds Boolean although the enum expresses alternative policies.	root
P00098	include/kf/game_actor.h	355	actor_move_xz_with_collision	0	0	0	KfVecXZs	GAME.EXE|OPEN.EXE	modern|retail	355	actor_move_xz_with_collision	delta	delta	retain	XZ displacement is added to the current actor position to form the candidate movement target.	root
P00099	include/kf/game_actor.h	355	actor_move_xz_with_collision	1	0	0	KfActorCollisionPolicy	GAME.EXE|OPEN.EXE	modern|retail	355	actor_move_xz_with_collision	stop_on_collision	collision_policy	rename	Same steering/stop policy forwarded from actor_move_along_heading; preserve the shared parameter name across both functions.	root
P00100	include/kf/game_actor.h	356	actor_play_sound_at_phase	0	0	0	SoundRef	GAME.EXE|OPEN.EXE	modern|retail	356	actor_play_sound_at_phase	sound	sound	retain	SoundRef identifies the sound played when the actor crosses the requested animation phase.	root
P00103	include/kf/game_actor.h	360	actor_pool_apply_radial_damage	0	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	360	actor_pool_apply_radial_damage	origin	origin	retain	World-space radial-damage center; unlike an actor placement position this is the center of a query volume.	root
P00113	include/kf/game_actor.h	362	actor_pool_apply_radial_damage	10	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern|retail	362	actor_pool_apply_radial_damage	hit_flags	hit_flags	retain	Forwards hit-credit flags unchanged to actor_apply_damage for every affected actor.	root
P00116	include/kf/game_actor.h	365	actor_pool_find_target_in_cone	0	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	365	actor_pool_find_target_in_cone	origin	origin	retain	World-space origin for cone distance and bearing tests across actor candidates.	root
