source	image	va	function	read_status	helper_candidates	decision	retained_helpers	extraction_verdict	strict_before	strict_after
src/game/actor.c	GAME.EXE	0x8002ca78	actor_pool_find_free	read	existing	Existing bounded free-slot search; generic pool macros would hide slot-state versus lifecycle distinction.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cab4	func_8002cab4	read	none	Unresolved wrapper discards free-slot result; no common operation beyond existing call.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cad4	actor_set_player_transform	read	existing	Existing nullable full VECTOR/SVECTOR snapshot helper includes pad bytes unlike component copies.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cb44	actor_update_cell_from_position	read	map-coordinate	Existing cell-update wrapper; world-to-cell division repeats but narrowing and signed division must remain explicit.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cbb8	actor_set_position	read	map-coordinate	Publishes X/Z/Y components then divides source XZ into cells; full VECTOR copy would also overwrite padding.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cc54	actor_set_rotation	read	existing	Three-field setter already named; SDK vector macro cannot substitute this non-SDK angle structure blindly.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cc64	actor_initialize	read	existing	Cohesive lifecycle initialization chooses authored/random yaw then increments occupancy; no generic reset.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cd28	actor_initialize_current	read	map-placement;actor-home-init	Home tile/local position, floor probe and three initialization calls repeat with indexed-slot initializer.	actor_initialize_at_home	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cdcc	actor_initialize_slot	read	map-placement;actor-home-init	Same home initialization as current actor plus an early lifecycle store; compare other-TU respawn users before extraction.	actor_initialize_at_home	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002ce88	actor_pool_clear	read	none	Clears slot, lifecycle and animation owner; distinct from other pool reset fields.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cec8	actor_set_action	read	existing	Existing action-plus-progress reset helper is already the correct boundary.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002ced4	actor_pool_spawn	read	existing	Uses named position/rotation/init/action helpers; local free scan has different counter width from public search.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002cf84	actor_pool_begin_death_by_definition	read	none	Definition filter and death-animation availability choose transition versus disable; keep this lifecycle policy visible.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002d078	combat_calculate_damage_component	read	combat-component-rejected	Compared player formula: this adds base power to attack, player adds it to defense. Existing named functions are the right boundaries.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002d120	actor_apply_damage	read	combat-component	Five scaled components already call common formula; training/experience credit, drift and death cutoff are distinct policy.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002d4a8	actor_pool_apply_radial_damage	read	radial-falloff	Q12 distance ratio, falloff weight and scale repeat in player radial damage; preserve u16 truncations and u32 products.	radial_damage_attenuated_scale	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002d6a0	actor_try_attack_player	read	existing	Uses named distance, angle and damage helpers; status chance and camera-height adjustment remain explicit.	ACTOR_BEARING_TO_PLAYER	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002d7f8	actor_pool_find_target_in_cone	read	cone-angle-error	Same masked-and-folded shortest angle magnitude as map-event cone search; s16 narrowing and strict best-angle tie rule matter.	angle_error_magnitude	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002d97c	actor_distance_to_point	read	bounded-distance2	Same shifted XZ length after bounding box as event/object paths; optional vertical interval test is actor-specific.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002da6c	actor_pool_find_overlap	read	existing	Existing active/non-dying/current exclusion scan uses actor distance helper; no generic pool predicate.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002dbb0	actor_bind_current	read	existing	Already binds current actor plus definition/index; retain existing unusual null caller behavior for separate reconstruction audit.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002dc3c	actor_advance_animation_wrapped	read	existing	Existing absolute-step publication and wrapped phase helper; not equivalent to clamped advance.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002dc70	actor_advance_animation_clamped	read	existing	Existing signed narrowed phase with upper/lower clamping; absolute-step duplication is local and too small for cross-TU helper.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002dccc	actor_animation_crossed_phase	read	existing	Existing phase-window predicate already names the meaningful test.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002dcfc	actor_play_sound_at_phase	read	existing	Uses phase predicate and spatial APIs; boss range exception belongs in wrapper.		kept-existing-source	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002dd94	actor_try_select_action_distance_facing	read	actor-facing	Player-bearing/tolerance repeats in actor TUs; preserve random call order and distance-dependent u16 odds.	ACTOR_BEARING_TO_PLAYER	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002deb4	actor_try_select_ground_action	read	actor-facing	Shares facing calculation but ground equality, current target override and odds differ; do not wrap whole selection policy.	ACTOR_BEARING_TO_PLAYER	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002e018	actor_try_select_facing_action	read	actor-facing	Same bearing calculation with a different tolerance and no random facing bypass.	ACTOR_BEARING_TO_PLAYER	retained-exact	100.0	100.0
src/game/actor.c	GAME.EXE	0x8002e0f0	actor_try_select_profiled_action	read	actor-facing	Profile weights and spawner population cap are distinct; angle predicate occurs before random bypass unlike other selectors.	ACTOR_BEARING_TO_PLAYER	retained-exact	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002e2e8	actor_select_next_action	read	existing	Priority chain already uses named selector helpers; random call ordering and animation availability must remain explicit.		kept-existing-source	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002e6a8	actor_update_awareness	read	map-placement;actor-player-distance	Repeated home-position overlap probe and bounded player distance; lifecycle-specific spawn/range policy remains in this function.	actor_player_distance;map_placement_axis_position	retained-exact	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002e954	actor_move_xz_with_collision	read	map-coordinate	Target XZ/cell publication repeats; collision sliding, random drop checks and jump/step transitions are specific to walking.		kept-existing-source	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002ed00	actor_move_along_heading	read	existing	Already composes approach/forward/scale/move helpers; sliding turn rate and backward inversion stay visible.		kept-existing-source	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002edd4	actor_spawn_action_effect	read	existing	Existing attachment transform, direction/scale and typed effect-vararg macros clarify dispatch; preserve paired spawn and kind-specific aims.		kept-existing-source	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002f228	actor_prepare_charge_toward_player	read	actor-facing	Repeated player bearing followed by tolerance fallback; existing vector helpers describe charge length and direction.	ACTOR_BEARING_TO_PLAYER	retained-exact	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002f31c	actor_apply_horizontal_movement	read	map-coordinate	Repeated XZ-to-cell publication; bouncing, player stop and successful movement differ from walking and random drift.		kept-existing-source	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002f468	actor_update_effect_action	read	actor-player-distance	Existing effect-slot animation wrapper; completion repeats bounded player-distance/reselect sequence in same behavior TU.	actor_player_distance	retained-exact	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002f558	actor_apply_random_movement	read	map-coordinate;random-clamped-step	Three signed random/clamped component steps also resemble drift yaw; preserve RNG X/Z/Y ordering, s16 stores and conditional axis probes.		kept-existing-source	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002f8cc	actor_update_boss_death_sequence	read	none	Boss-specific sounds, random scatter, map links and defeat flag already call named operations; generic death macro would hide script policy.		kept-existing-source	100.0	100.0
src/game/actor_behavior.c	GAME.EXE	0x8002fa88	actor_update_current_action	read	actor-facing;actor-player-distance;map-placement;random-clamped-step	Full action and vertical dispatch read; local player-bearing/distance extraction is recommended, while lock/progress/RNG/collision rejoin order stays explicit.	ACTOR_BEARING_TO_PLAYER;actor_player_distance;map_placement_axis_position	retained-exact	100.0	100.0
src/game/actor_pool.c	GAME.EXE	0x80030818	actor_pool_update	read	existing	Named bind/awareness/action steps expose lifecycle order; generic iteration would hide current-context updates.		kept-existing-source	100.0	100.0
src/game/actor_pool.c	GAME.EXE	0x800308c0	actor_pool_load_placements	read	map-placement	Tile/local coordinates repeat; exhaustion, culling flags and dormant state initialization are pool-specific.	map_placement_axis_position	retained-exact	100.0	100.0
src/game/actor_pool.c	GAME.EXE	0x80030a6c	actor_definitions_load	read	table-word-copy	Same const-u32 source, u32 destination and signed do/while count as equipment loaders.		kept-existing-source	100.0	100.0
src/game/asset_registry.c	GAME.EXE	0x800204c0	asset_registry_load_tmd_archive	read	existing	Already archive-wide helper; asset byte_size includes its header unlike RESOURCE_STREAM_NEXT, so do not reuse chunk macro.		kept-existing-source	100.0	100.0
src/game/asset_registry.c	GAME.EXE	0x8002055c	asset_registry_set	read	existing	Existing publish/select/prepare wrapper; no additional macro needed.		kept-existing-source	100.0	100.0
src/game/asset_registry.c	GAME.EXE	0x8002059c	asset_registry_select	read	existing	Typed asset-relative TMD offset is clear in this small setter.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x800328e0	audio_initialize	read	audio-voice-reset	Voice-slot reset loop repeats; SDK setup, volumes, reverb, buffer size and OPEN VAB reset differ.	audio_reset_voice_slots	retained-exact	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032984	audio_load_vab	read	existing-sdk	SDK VAB operations are already named; OPEN exits on failure and waits 100 frames, GAME returns.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032a4c	audio_play_map_sequence	read	audio-sequence-open	Existing map/music-option policy surrounds common SDK open/play sequence.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032b5c	audio_stop_sequence_fade	read	audio-sequence-close	Shared stop/close statement macro retained; strict 100% and complete object byte-identical. Inline trial rejected because repeated address setup regressed exact code; fade policy remains visible.	AUDIO_SEQUENCE_STOP_AND_CLOSE	retained-exact	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032bdc	audio_stop_sequence_master_fade	read	audio-sequence-close	Shared stop/close statement macro retained; strict 100% and complete object byte-identical. Inline trial rejected because repeated address setup regressed exact code; fade policy remains visible.	AUDIO_SEQUENCE_STOP_AND_CLOSE	retained-exact	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032c78	audio_shutdown	read	existing	Existing three-call teardown operation; do not merge with active-state stop helper.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032cb0	audio_close_vab	read	existing	OPEN guards unavailable IDs while GAME always calls SsVabClose; retain this difference.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032cf0	audio_play_spatial	read	distance3;audio-pan	Shared shifted 3D length and folded pan angle; GAME level clamps, tone mask and pan scaling differ substantially from OPEN.	fixed_vector3_length	retained-exact	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032fb8	audio_play_spatial_default_range	read	existing	Existing default-range wrapper is already the intended helper.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x80032fe8	audio_play_spatial_range	read	existing	Existing ABI forwarding wrapper; no new abstraction needed.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x80033014	sound_ref_key_off_bank0	read	existing	Existing packed-note SDK boundary; byte shift is already named.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x8003303c	audio_set_listener_transform	read	existing	Existing optional aggregate snapshot helper; do not substitute component-only SDK copyVector.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x800330ac	sound_ref_play	read	existing	Existing sound descriptor to voice-arguments wrapper.		kept-existing-source	100.0	100.0
src/game/audio.c	GAME.EXE	0x800330f4	audio_play_voice	read	audio-voice-slot	Shared ring advance/keyoff/store/keyon candidate; GAME effects-option guard must remain outside it.	audio_key_on_next_slot	retained-exact	100.0	100.0
src/game/audio.c	GAME.EXE	0x8003329c	angle_shortest_delta	read	existing	Existing shortest-angle helper; asymmetric half-turn comparisons are intentional and explicit.		kept-existing-source	100.0	100.0
src/game/camera_path.c	GAME.EXE	0x800332e4	camera_path_compute_segment	read	camera-segment;distance3	Same shifted-square distance and Q4 deltas as OPEN; GAME selects point before incrementing index.	fixed_vector3_length	retained-exact	100.0	100.0
src/game/camera_path.c	GAME.EXE	0x800335c0	camera_path_begin	read	camera-fixed-state	Snapshots player camera; possible shared Q4 state conversion after preserving the different source of initial pose.	camera_path_publish_fixed	retained-exact	100.0	100.0
src/game/camera_path.c	GAME.EXE	0x80033680	camera_path_step	read	camera-step	SDK addVector/setVector already used; shared fixed-state publication candidate must preserve y offset and wrapped rotations.	camera_path_advance_pose	retained-exact	100.0	100.0
src/game/cd_file.c	GAME.EXE	0x8001acf0	cd_file_load_allocated	read	cd-path;cd-location;cd-read	Path assembly and three-byte location copy repeat across images; whole retry helper must preserve image-specific errors, attempts and allocation lifetime.	CD_LOCATION_COPY	retained-exact	100.0	100.0
src/game/cd_file.c	GAME.EXE	0x8001ae60	cd_file_load_table_entry	read	cd-location;cd-read	Table records share minute/second/sector fields but differ from CdlLOC; five attempts and GAME error screen are explicit.	CD_LOCATION_COPY	retained-exact	100.0	100.0
src/game/cd_file.c	GAME.EXE	0x8001af9c	cd_file_load_into	read	cd-path;cd-location;cd-read	Same candidate path/location operations as allocated load; existing failure policy differs across images.	CD_LOCATION_COPY	retained-exact	100.0	100.0
src/game/collision.c	GAME.EXE	0x8001a5ac	collision_query_world	read	map-floor-predicate;collision-target	FLOOR/STEP terrain predicate repeats; target snapshots share assignment shape but entity-specific sources and collision flags must stay clear.	MAP_CELL_HAS_FULL_FLOOR	retained-exact	100.0	100.0
src/game/collision_grid.c	GAME.EXE	0x8001a29c	map_floor_height_for_cell_position	read	existing	Already floor/step-height helper; strict center comparisons vary with orientation and should stay visible.		kept-existing-source	100.0	100.0
src/game/collision_grid.c	GAME.EXE	0x8001a44c	map_floor_height_at_position	read	map-coordinate	Existing signed world-to-flat-cell wrapper; compare callers that explicitly narrow Z before flattening.		kept-existing-source	100.0	100.0
src/game/collision_grid.c	GAME.EXE	0x8001a4e8	collision_adjust_cell_occupancy	read	none	Bounded neighborhood counter update preserves high flags and wraps low occupancy bits; unique operation already named.		kept-existing-source	100.0	100.0
src/game/color_lerp_rgb555.c	GAME.EXE	0x80020428	color_lerp_rgb555	read	fixed-lerp	Three signed channel interpolations repeat across both images; retain first-color STP and packing without invented clamps.		kept-existing-source	100.0	100.0
src/game/debug_text.c	GAME.EXE	0x8003a7dc	debug_stop	read	none	Existing debug notification and boolean toggle; another toggle macro adds no semantics.		kept-existing-source	100.0	100.0
src/game/debug_text.c	GAME.EXE	0x8003a81c	format_int_dec	read	existing	Existing decimal formatter; signed division and leading-zero state differ from hex, so no generic digit-loop macro.		kept-existing-source	100.0	100.0
src/game/debug_text.c	GAME.EXE	0x8003a8fc	format_int_hex	read	existing	Existing hex formatter; unsigned radix-16 arithmetic and uppercase digits stay explicit.		kept-existing-source	100.0	100.0
src/game/debug_text.c	GAME.EXE	0x8003a988	format_pad_left	read	existing	Existing left-padding helper is already shared by callers.		kept-existing-source	100.0	100.0
src/game/debug_text.c	GAME.EXE	0x8003a9f4	format_vsprintf	read	existing	Numeric conversions already share emit_padded and copy tails; no extra parser-control macro.		kept-existing-source	100.0	100.0
src/game/debug_text.c	GAME.EXE	0x8003ac34	debug_printf_sink	read	none	Empty varargs ABI sink has no common operation to extract.		kept-existing-source	100.0	100.0
src/game/debug_text.c	GAME.EXE	0x8003ac4c	func_8003ac4c	read	none	Unreferenced empty return stub; no helper candidate.		kept-existing-source	100.0	100.0
src/game/display_play_transition.c	GAME.EXE	0x800144d4	display_play_transition	read	fade-color	Same RGB fade step as OPEN opening_fade_in; candidate inline must retain byte wrap and r/b/g publication order.	TRANSITION_COLOR_STEP	retained-exact	100.0	100.0
src/game/effect_dispatch.c	GAME.EXE	0x80038a38	effect_update_dispatch	read	effect-physical-hit;effect-radial-hit;effect-render-pair;map-coordinate	Full dispatch read: physical and radial damage call groups repeat but power/component routing varies. Keep kind phases, RNG order, scale narrowing and invalidation exits explicit.		kept-existing-source	99.82781	99.82781
src/game/effect_map_collision.c	GAME.EXE	0x80037850	effect_map_collision	read	existing;map-cell-bounds	Existing helper already separates signed cell bounds from local cell collision; a generic bounds macro adds no useful operation.		kept-existing-source	99.87369	99.87369
src/game/effect_pool.c	GAME.EXE	0x80036f00	effect_pool_find_free	read	existing	Existing type-sentinel search; no generic pool operation needed.		kept-existing-source	100.0	100.0
src/game/effect_pool.c	GAME.EXE	0x80036f44	effect_pool_construct	read	effect-render-pair	Full variadic dispatch read; base/current render ID publication repeats across effect TUs. Kind-specific argument widths, rotation and sound policy must remain explicit.		kept-existing-source	100.0	100.0
src/game/effect_pool.c	GAME.EXE	0x80037770	effect_pool_spawn_typed	read	effect-render-pair	Floor-deformation initializer also sets both render IDs; payload repurposes vector fields and belongs to this named constructor.		kept-existing-source	100.0	100.0
src/game/effect_pool.c	GAME.EXE	0x8003781c	effect_pool_set_current	read	existing	Existing current-record/magic-row publication boundary.		kept-existing-source	100.0	100.0
src/game/effect_update.c	GAME.EXE	0x80037fbc	effect_magic_power	read	existing	Existing player-magic/fixed-power selector already names shared policy.		kept-existing-source	100.0	100.0
src/game/effect_update.c	GAME.EXE	0x80037fe0	effect_projectile_update_3d	read	effect-physical-hit	Swing collision dispatch shares reordered physical components with orbit and dispatcher; swing reflection, pitch limits and rise state stay local.		kept-existing-source	100.0	100.0
src/game/effect_update.c	GAME.EXE	0x80038298	effect_projectile_update_2d	read	effect-physical-hit;distance3	Orbit repeats physical collision damage and shifted 3D listener distance; preserve sound gate and unsigned phase conditions.	fixed_vector3_length	retained-existing-residue	99.93421	99.93421
src/game/effect_update.c	GAME.EXE	0x800384f8	effect_floor_deform_line	read	fixed-lerp	Q12 height interpolation uses signed height difference then byte store; range sound trigger and cell-step sweep are existing cohesive helper.		kept-existing-source	100.0	100.0
src/game/effect_update.c	GAME.EXE	0x800386c4	effect_scatter_triple	read	existing	Already a meaningful signed-halfword jitter helper; RNG order X/Y/Z differs from actor drift.		kept-existing-source	100.0	100.0
src/game/effect_update.c	GAME.EXE	0x8003872c	effect_rotate_scale_offset_y	read	existing	Existing scale/yaw offset helper preserves XZ-only scaling and SDK matrix operation.		kept-existing-source	100.0	100.0
src/game/effect_update.c	GAME.EXE	0x800387bc	effect_spawn_ground_trail	read	existing	Existing scale/rotate/parent-link wrapper; intentionally does not publish a floor Y like ground branch.		kept-existing-source	100.0	100.0
src/game/effect_update.c	GAME.EXE	0x800388b4	effect_spawn_ground_branch	read	map-coordinate	Yaw-relative child XZ and floor Y repeat in placement paths; existing branch-role wrapper already useful.		kept-existing-source	100.0	100.0
src/game/entity_model_render.c	GAME.EXE	0x8001e9a4	render_actor	read	model-view-transform;animated-projection	View translation and cache/fallback projection repeat across entity TUs; actor uses negated yaw and descriptor-selected alternate texture path.		kept-existing-source	100.0	100.0
src/game/entity_model_render.c	GAME.EXE	0x8001ebb8	render_map_object	read	model-view-transform;tmd-project-object	Shares view translation and project/enqueue; rotation composition and behavior-selected door depth remain explicit.		kept-existing-source	100.0	100.0
src/game/entity_model_render.c	GAME.EXE	0x8001ed38	menu_render_item_model	read	tmd-project-object	Small existing wrapper sets menu lighting/projection then selects/projects/enqueues object zero; candidate common object projection sequence.		kept-existing-source	100.0	100.0
src/game/entity_render.c	GAME.EXE	0x8001ed90	render_floor_item	read	floor-item-frame;model-view-transform	GAME and OPEN share facing/billboard transform and byte-wrapped frame increment; strong cohesive frame-advance candidate.	floor_item_advance_frame	retained-exact	100.0	100.0
src/game/entity_render.c	GAME.EXE	0x8001eedc	render_actor_sprite	read	model-view-transform;animated-projection	View translation and animation-cache fallback repeat; billboard/model branches use different rotation sources and asset selection.		kept-existing-source	100.0	100.0
src/game/equipment.c	GAME.EXE	0x800150a8	weapon_records_load_and_mirror_angles	read	table-word-copy	Whole-table word copy repeats in armor/actor/magic loaders; retain signed loop count and separate yaw mirror pass.		kept-existing-source	100.0	100.0
src/game/equipment.c	GAME.EXE	0x800150fc	armor_records_load	read	table-word-copy	Typed-table word copy resembles actor/object loaders, but the wider family includes pretested magic copying; retain loop and zero-count behavior.		kept-existing-source	100.0	100.0
src/game/equipment.c	GAME.EXE	0x80015128	fixed6_ratio_step	read	existing	Existing Q6 ratio helper preserves span+1 and result+1; not interchangeable with generic division/lerp.		kept-existing-source	100.0	100.0
src/game/game.c	GAME.EXE	0x800146b8	game_main_loop	read	none	Distinct startup/frame/shutdown orchestration already delegates to named subsystem functions; keep update order visible.		kept-existing-source	100.0	100.0
src/game/game.c	GAME.EXE	0x8001499c	game_shutdown	read	existing	Existing ordered subsystem shutdown wrapper.		kept-existing-source	100.0	100.0
src/game/game.c	GAME.EXE	0x800149d4	frame_pacer_vsync_callback	read	none	One interrupt counter increment; extracting it would hide the callback purpose.		kept-existing-source	100.0	100.0
src/game/game.c	GAME.EXE	0x800149f4	frame_pacer_wait	read	none	Unsigned wrap-aware pacing and critical-section exits are one cohesive existing helper.		kept-existing-source	100.0	100.0
src/game/geometry_render.c	GAME.EXE	0x8001f798	render_weapon	read	none	Cache success gates shifted-depth projection with no fallback; distinct from actor/event animated-projection candidate.		kept-existing-source	100.0	100.0
