# MANUALLY REVIEWED - all current project array declarations; Clang provides coverage, semantic dispositions follow declaration/use review.
declaration	kind	owner	name	datatype	dimensions	verdict	finding	evidence	note
include/kf/audio.h:53	FIELD_DECL	KfAudioVoiceSlots	voice_ids	s16[10]	10	numeric		include/kf/audio.h:53;src/game/audio.c:42;src/game/audio.c:280;src/game/audio.c:282;src/game/audio.c:292;src/open/audio.c:45;src/open/audio_play_voice.c:17;src/open/audio_play_voice.c:19;src/open/audio_play_voice.c:29	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:54	FIELD_DECL	KfAudioVoiceSlots	vab_ids	s16[10]	10	numeric		include/kf/audio.h:54;src/game/audio.c:283;src/game/audio.c:288;src/open/audio_play_voice.c:20;src/open/audio_play_voice.c:25	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:55	FIELD_DECL	KfAudioVoiceSlots	programs	s16[10]	10	numeric		include/kf/audio.h:55;src/game/audio.c:284;src/game/audio.c:289;src/open/audio_play_voice.c:21;src/open/audio_play_voice.c:26	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:56	FIELD_DECL	KfAudioVoiceSlots	tones	s16[10]	10	numeric		include/kf/audio.h:56;src/game/audio.c:285;src/game/audio.c:290;src/open/audio_play_voice.c:22;src/open/audio_play_voice.c:27	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:57	FIELD_DECL	KfAudioVoiceSlots	notes	s16[10]	10	numeric		include/kf/audio.h:57;src/game/audio.c:286;src/game/audio.c:291;src/open/audio_play_voice.c:23;src/open/audio_play_voice.c:28	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:63	FIELD_DECL	KfAudioState	unknown_06	u8[2]	2	unresolved		include/kf/audio.h:63	padding or unresolved
include/kf/audio.h:66	FIELD_DECL	KfAudioState	unknown_0e	u8[2]	2	unresolved		include/kf/audio.h:66	padding or unresolved
include/kf/audio.h:73	VAR_DECL	file_scope	audio_sequence_table	char[]	?	sdk_storage		include/kf/audio.h:73;src/game/audio.c:29	SsSetTableSize sequence workspace sized by the pinned SDK SS_SEQ_TABSIZ; not a game ID list.
include/kf/cd_file.h:24	VAR_DECL	file_scope	cd_path_buffer	char[80]	80	encoded_content		include/kf/cd_file.h:24;src/game/cd_file.c:22;src/game/cd_file.c:93;src/game/render.c:80;src/game/render.c:81;src/game/render.c:83;src/open/resources.c:51;src/open/resources.c:90	Filename, path template, debug text or number-formatting character buffer; byte positions hold character encodings.
include/kf/game_actor.h:214	FIELD_DECL	KfActorActionParameters	effect_codes	KfActorEffectCode[3]	3	typed_enum		include/kf/game_actor.h:214;src/game/actor_behavior.c:161;src/game/actor_behavior.c:169;src/game/actor_behavior.c:177;src/game/actor_behavior.c:695	Elements retain their declared enum domain in strict C++20, including field-width wrappers.
include/kf/game_actor.h:215	FIELD_DECL	KfActorActionParameters	effect_chances	u8[3]	3	numeric		include/kf/game_actor.h:215;src/game/actor_behavior.c:162;src/game/actor_behavior.c:170;src/game/actor_behavior.c:178	Three numeric probability thresholds; not a selector.
include/kf/game_actor.h:220	TYPEDEF_DECL	file_scope	check_actor_action_parameters_size	char[1]	1	layout_assertion		include/kf/game_actor.h:220	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_actor.h:222	TYPEDEF_DECL	file_scope	check_actor_action_drop_offset	char[1]	1	layout_assertion		include/kf/game_actor.h:222	Compile-time size, alignment or offset assertion; no runtime elements.
