# Reviewed aggregate identities for the runtime-loaded GAME item and menu data banks.
# Every function row combines the current kf sema addr/disasm --blocks/xref/strings/match evidence with the existing menu-list and menu-presentation dossiers, source history, adjacent boundaries, and vendored/FID controls.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	type_and_referent_evidence	vendor_negative_control	final_identity	verdict
GAME.EXE	0x80020cfc	0x5dc	bank-loader	99.746666% fuzzy	loads COM\\STAT.DAT, expands six consecutive memcpy operations, releases the allocation, then resolves 80 item-model files	validated address pairs name menu_window_layouts and the four banks at 0x80058dc0, 0x80059400, 0x800594b8, and 0x800595f8; the source advances are 2376, 1600, 180, 320, and 320 bytes	the consecutive copy extents prove MenuWindowLayout[9], MenuGlyphRow[80], MenuGlyphRow[9], u16[80][2], and u16[80][2] without a gap or overlap	CD and libc helpers are provider boundaries; database loading and item-model enumeration are game-owned	item_load_database	semantic bank names and complete extents supported; pre-existing non-exact residue is outside the identity change
GAME.EXE	0x80021538	0x5c4	item-shop	97.200540% fuzzy	builds item-name rows for IDs 42..79 then 0..41 and runs the buy-panel selection loop	validated references use item-name row 42 and the name-bank base; two price references select an item and the shop column	ten signed halfword loads per row and a 20-byte ID stride prove item_name_rows; unsigned halfword loads with item*4 plus column*2 prove item_buy_prices[80][2]	menu helpers are shared game services and no Psy-Q or FID body matches this shop policy	item_menu_buy	aggregate name and buy-price identities supported; corrected referents/types removed the old mismatch class and the first remaining divergence is CFG/local allocation
GAME.EXE	0x80021afc	0x500	item-shop	96.771870% fuzzy	builds sellable inventory rows, excluding equipped copies, then credits the confirmed sale	validated references use the item-name base and the sell-price base	ten signed halfwords form each 20-byte name row; the selected price is an unsigned halfword addressed by item and one of two columns	menu helpers are shared game services and no Psy-Q or FID body matches this shop policy	item_menu_sell	aggregate name and sell-price identities supported; corrected referents/types removed the old mismatch class and the first remaining divergence is CFG/local allocation
GAME.EXE	0x80022608	0x774	item-list	92.821800% fuzzy	builds consumable-item rows in two ID bands plus explicit items 0x37 and 0x49, then applies the selected effect	validated referents at 0x80059108, 0x800591d0, 0x8005920c, and 0x80059374 are exactly item-name rows 42, 52, 55, and 73	each source advances by ten signed halfwords; the interior addresses equal item_name_rows[id].codes and are not separate objects	menu helpers are shared game services; item filtering and effect policy are game-owned	menu_use_item_panel	four interior identities collapsed into aggregate row addends; pre-existing non-exact residue retained
GAME.EXE	0x8002317c	0x530	magic-list	95.897590% fuzzy	filters learned magic records 0..3 into a menu list and dispatches the selected spell	validated base reference at 0x80059400 advances with the spell ID	ten signed halfword loads per entry and a 20-byte stride prove magic_name_rows[0..3]	menu helpers are shared game services; learned-spell and MP policy are game-owned	menu_magic_panel	aggregate magic-name identity supported; pre-existing non-exact residue retained
GAME.EXE	0x800238d8	0x5c4	equipment-list	97.899730% fuzzy	selects an equipment ID range, copies owned item names, previews them, and writes the selected equipment slot	validated item-name base reference is indexed by the candidate item ID	the multiply-by-20 address sequence and ten signed halfword copies prove item_name_rows[id]	menu helpers are shared game services; equipment policy is game-owned	menu_equip_select	aggregate item-name identity supported; pre-existing non-exact residue retained
GAME.EXE	0x80023e9c	0x470	magic-list	98.063380% fuzzy	filters learned attack spells 4..8, loads their preview textures, and stores the selection	validated interior referent 0x80059450 equals the fifth 20-byte row of the 0x80059400 bank	ten signed halfword copies and 20-byte iteration prove magic_name_rows[4..8]; 0x80059450 is an addend, not an object	menu/GPU helpers are provider boundaries; spell-selection policy is game-owned	menu_spell_select	interior identity collapsed into magic_name_rows[4]; pre-existing non-exact residue retained
GAME.EXE	0x800249a8	0x4bc	item-list	98.854780% fuzzy	iterates all 80 item IDs, removes equipped copies from counts, and emits remaining name rows	validated item-name base reference advances once per item	ten signed halfword copies and a 20-byte row advance prove item_name_rows[80]	menu helpers are shared game services; inventory-drop policy is game-owned	menu_drop_item	aggregate item-name identity supported; pre-existing non-exact residue retained
GAME.EXE	0x8002718c	0x838	name-render	100.000000% exact	draws eight equipment/magic rows; each present row is copied as five words into the positioned glyph workspace	retail has validated base-and-interior references covering byte offsets 0..19 of the item or magic row and eight proven menu_draw_string calls	ID*20 addressing and the five-word copies prove one ten-halfword MenuGlyphRow for both banks	menu_draw_string is a game renderer boundary; the row-selection composition has no SDK/FID match	menu_draw_name_list	shared MenuGlyphRow and both aggregate name banks supported; exact result must remain exact
GAME.EXE	0x800279c4	0x1b8	item-preview	98.181816% fuzzy	renders the selected item model, copies its name, then draws held quantity	validated item-name base reference is indexed by item_id	the address sequence uses item_id*20 and the copy loop performs ten signed halfword loads	GTE/GPU calls are provider boundaries; item preview composition is game-owned	menu_item_model_preview	aggregate item-name identity supported; pre-existing non-exact residue retained
GAME.EXE	0x80027b7c	0x2dc	item-detail	91.284160% fuzzy	renders an item preview, name, shop price, held count, and gold	validated references name the item-name and price banks plus the label at menu_window_layouts[7].rows[3]	the name loop reads ten signed halfwords; price loads are unsigned halfwords from 4-byte rows; the gold label's x/y loads are the first fields of MenuGlyphString	GTE/GPU calls are provider boundaries; shop-detail composition is game-owned	menu_draw_item_detail	item data and typed interior menu-window label supported; match improves slightly after removing the overlapping identity
GAME.EXE	0x800292f8	0x7b8	item-preview	68.518220% fuzzy	renders the item-use model/name frame and four mirrored textured quads	validated item-name base reference and five proven item_use_confirm callers constrain the item_id input	the address sequence uses item_id*20 and the loop copies ten signed halfwords into the glyph workspace	GTE/GPU calls are provider boundaries; item-use preview composition is game-owned	menu_draw_item_name_frame	aggregate item-name identity supported; pre-existing non-exact residue retained
