# Pre-edit evidence and final verdicts for the first 30-function GAME.EXE matching campaign.
# Vendor control: every row is absent from functions_vendored.tsv and the Release 2.5 FID census.
image	va	extent	family	inventory	initial_score	calls_cfg_delay	signature_widths	constants_referents	initial_hypothesis	final_score	verdict
GAME.EXE	0x80014e08	0x40	fixed-point	ghidra-analysis	unstarted	leaf; straight-line; jr store delay	s16 scale; two s16 fields	shift 11	scale two-component vector	73.125000000	complete C; unattributed multiply/load scheduling residue
GAME.EXE	0x80014e48	0x5c	fixed-point	ghidra-analysis	unstarted	leaf; straight-line; jr store delay	s16 scale; three s16 fields	shift 12	scale three-component vector	78.260870000	complete C; unattributed multiply/load scheduling residue
GAME.EXE	0x80014ea4	0x40	fixed-point	mips-return-carve	unstarted	leaf; straight-line; jr store delay	s16 scale; two s16 fields	shift 12	scale two-component vector	73.125000000	complete C; unattributed multiply/load scheduling residue
GAME.EXE	0x80014ee4	0x5c	fixed-point	mips-return-carve	unstarted	leaf; straight-line; jr store delay	s16 scale; three s16 fields	shift 12	scale three-component vector	78.260870000	complete C; unattributed multiply/load scheduling residue
GAME.EXE	0x80015068	0x40	fixed-point	ghidra-analysis	unstarted	SquareRoot0; one return; jal add delay; jr frame delay	two signed long inputs; long return	input shift 3; output shift 3	fixed-point 2D magnitude	61.250000000	complete C; unattributed multiply/prologue/epilogue scheduling residue
GAME.EXE	0x800150a8	0x54	asset-copy	ghidra-analysis	unstarted	leaf; two loops; branch pointer-update delays	word source; signed loop counts	0x8009ff10; 176 words; indices 15 through 0; stride 44	copy asset block and negate 16 record fields	100.000000000	exact
GAME.EXE	0x800150fc	0x2c	asset-copy	ghidra-analysis	unstarted	leaf; one loop; branch pointer-update delay	word source	0x800a0248; 294 words	copy asset block	100.000000000	exact
GAME.EXE	0x80020364	0x2c	lighting	ghidra-analysis	unstarted	func_800202fc and SetColorMatrix; straight-line; two jal argument delays; jr frame delay	three long inputs; MATRIX local	stack MATRIX at sp+16	build and install color matrix	63.636364000	complete C; unattributed epilogue scheduling residue
GAME.EXE	0x80020390	0x2c	lighting	mips-frame-carve	unstarted	func_800202fc and SetLightMatrix; straight-line; two jal argument delays; jr frame delay	three long inputs; MATRIX local	stack MATRIX at sp+16	build and install light matrix	63.636364000	complete C; unattributed epilogue scheduling residue
GAME.EXE	0x800203bc	0x44	fog	ghidra-analysis	unstarted	SetFogNear; straight-line; jal constant delay; jr frame delay	three signed long inputs	0x80095740; 0x1000; 200	interpolate and install fog distance	56.470590000	complete C; unattributed register/prologue/epilogue scheduling residue
GAME.EXE	0x80020400	0x28	fog	ghidra-analysis	unstarted	SetFogNear; straight-line; jal constant delay; jr frame delay	signed long input	0x80095740; 200	store and install fog distance	60.000000000	complete C; unattributed epilogue scheduling residue
GAME.EXE	0x8002055c	0x40	asset-state	ghidra-analysis	unstarted	func_8002059c then func_8001c2b0; straight-line; nop call delays; jr frame delay	u16 index; pointer value	0x80090fcc pointer table	set current asset and refresh	80.000000000	complete C; unattributed prologue/epilogue scheduling residue
GAME.EXE	0x8002059c	0x38	asset-state	ghidra-analysis	unstarted	leaf; straight-line; load delays; jr nop delay	u16 index; pointer table entry; u32 offset	0x80090fcc; 0x80090fc8; field +8	resolve current asset data pointer	100.000000000	exact
GAME.EXE	0x80020978	0x30	pool	ghidra-analysis	unstarted	leaf; counted loop; branch pointer-update delay; jr nop delay	12 records; s16 state; pointer field	0x800910c0; stride 20	clear pool state and owned pointer	100.000000000	exact
GAME.EXE	0x800209a8	0x3c	pool	ghidra-analysis	unstarted	leaf; conditional plus counted loop; branch counter/pointer delays; jr nop delay	12 records; signed s16 state	0x800910c0; stride 20; state 1	mark allocated pool entries	100.000000000	exact
GAME.EXE	0x800209e4	0x48	pool	ghidra-analysis	unstarted	free; conditional; jal nop delay; jr frame delay	record pointer; s16 state; pointer fields +12/+16	owned allocation and backlink	reset and release pool record	79.666664000	complete C; unattributed save/epilogue scheduling residue
GAME.EXE	0x80020b04	0x48	pool	ghidra-analysis	unstarted	leaf; scan loop and internal exit jump; branch counter/pointer delays; jr nop delay	12 records; s16 state; pointer return	0x800910c0; stride 20; field +4 = 255	allocate free pool record	100.000000000	exact
GAME.EXE	0x8002accc	0x50	primitive	ghidra-analysis	unstarted	SetPolyFT4; straight-line; jal nop delay; jr frame delay	POLY_FT4 pointer global; byte color fields	DAT_80057e88; RGB 0x60	initialize current textured quad	84.000000000	complete C; unattributed final-store/epilogue scheduling residue
GAME.EXE	0x8002ad1c	0x50	primitive	ghidra-analysis	unstarted	AddPrim; straight-line; jal address delay; jr frame delay	long OT index; POLY_FT4/current-buffer pointers	DAT_80057e88; 0x80090ebc; 0x80070eb8; primitive size 40	link and advance current textured quad	53.000000000	complete C; unattributed register/prologue/epilogue scheduling residue
GAME.EXE	0x8002af0c	0x3c	game-state	ghidra-analysis	unstarted	func_8001c5ec; one conditional; jal constant delay; jr frame delay	global signed long state	DAT_80057b6c; state 1; argument 4	acknowledge pending state	81.333336000	complete C; unattributed prologue/branch/epilogue scheduling residue
GAME.EXE	0x8002b2d4	0x60	memory-card	ghidra-analysis	unstarted	StopCARD2 and four CloseEvent calls; straight-line; nop call delays; jr frame delay	four long event handles	DAT_80057e90/98/ea0/ea8	stop card service and close events	95.000000000	complete C; epilogue scheduling residue only
GAME.EXE	0x8002b334	0x38	memory-card	ghidra-analysis	unstarted	func_8002b36c; _card_info; conditional func_8002b3c4; call delays; jr frame delay	no args; signed long return	card channel 0	start asynchronous card status check	91.428570000	complete C; epilogue scheduling residue only
GAME.EXE	0x8002b36c	0x58	memory-card	ghidra-analysis	unstarted	four TestEvent calls; straight-line; nop call delays; jr frame delay	four long event handles	DAT_80057e90/98/ea0/ea8	clear/test card events	94.545456000	complete C; epilogue scheduling residue only
GAME.EXE	0x8002b480	0x58	memory-card	ghidra-analysis	unstarted	four UnDeliverEvent calls; straight-line; nop call delays; jr frame delay	four long event handles	DAT_80057e90/98/ea0/ea8	undeliver card events	94.545456000	complete C; epilogue scheduling residue only
GAME.EXE	0x80032c78	0x38	audio	ghidra-analysis	unstarted	func_80032cb0; func_8004b6e0; SsEnd; straight-line; nop call delays; jr frame delay	s16 global passed as promoted long	0x80095874	shutdown game audio	91.428570000	complete C; epilogue scheduling residue only
GAME.EXE	0x80032cb0	0x40	audio	ghidra-analysis	unstarted	SsVabClose; straight-line; nop call delay; jr frame delay	s16 VAB id	0x8009586c = -1; 0x80095868 = 0	close active VAB	77.125000000	complete C; unattributed save/epilogue scheduling residue
GAME.EXE	0x80032fb8	0x30	audio	ghidra-analysis	unstarted	func_80032cf0; straight-line; jal constant delay; jr frame delay	third argument s16; five-argument callee	0x3e80 and 0x6d60	play sound with default envelope	28.333334000	complete C; unattributed argument/prologue/epilogue scheduling residue
GAME.EXE	0x80032fe8	0x2c	audio	ghidra-analysis	unstarted	func_80032cf0; straight-line; jal stack-store delay; jr frame delay	third argument s16; caller fifth stack argument	five-argument forwarding wrapper	play sound with explicit envelope	45.454544000	complete C; unattributed argument/prologue/epilogue scheduling residue
GAME.EXE	0x800330ac	0x48	audio	ghidra-analysis	unstarted	func_800330f4; straight-line; jal argument-move delay; jr frame delay	three u8 object fields; s16 value; six-argument callee	0x8009586c active VAB id	play object sound with symmetric volumes	47.500000000	complete C; unattributed register/argument/epilogue scheduling residue
GAME.EXE	0x8003329c	0x48	angle	ghidra-analysis	unstarted	leaf; two conditionals and internal jumps; jump-result delays; jr nop delay	12-bit inputs; signed s16 delta/return	0x1000 wrap; thresholds 2048 and -2047	shortest signed angular delta	100.000000000	exact
