image	va	function	declaration	previous_type	boolean_type	evidence	strict_match	final_verdict
GAME.EXE	0x8002dccc	actor_animation_crossed_phase	return	s32	KfBool32	unsigned phase threshold; sltu/slt and xori produce only 0/1; eleven direct callers test truth	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x8002e2e8	actor_select_next_action	recently_active	s32	KfBool32	logical action-membership expression; retail s2 initialized zero at 0x8002e4f4 and set one at 0x8002e520; bnez consumers	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x8001ae60	cd_file_load_table_entry	loaded	s32	KfBool32	retry success flag only; retail s3 zero at 0x8001aea0 and one at 0x8001af54	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x8003a7dc	debug_stop	debug_stop_flag	s32	KfBool32	GAME DATA 0x80057b98 is a four-byte zero; lw/sltiu/sw toggles it; no admitted static caller	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x800338b8	map_event_pool_load	exhausted	u8	KfBool8	local sentinel flag starts zero and becomes one after the terminator; keep byte masking	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x80031008	map_object_pool_load	ended	u16	KfBool16	placement terminator flag; zero/one assignment and equality-to-one consumer; keep halfword masking	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x80034de4	map_interaction_dispatch	found_item	u8	KfBool8	inventory scan flag; s3 zero at 0x8003532c and one at 0x80035344; byte mask at 0x80035394	99.202774000%	supported Boolean; bytes and ordered relocations unchanged; existing unattributed residue retained
GAME.EXE	0x80014f6c	angle_within_tolerance	return	int	KfBool	modular delta tolerance predicate; two comparisons merge zero/one; preserve original int arguments	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x80014fa8	angle_mod_delta_le_half_turn	return	int	KfBool	modular delta predicate ends with slti v0,v0,2049 in jr delay slot	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x8002430c	menu_status_panel	menu_status_draw_backdrop_quad.flip_x/flip_y	s32/s32	KfBool32/KfBool32	inline helper arguments cover 0/0,1/0,0/1,1/1; only ternary texture-coordinate selection; retail parent remains non-exact	99.962170000%	supported Boolean; bytes and ordered relocations unchanged; existing unattributed residue retained
GAME.EXE	0x80018054	player_use_item	used	u8	KfBool8	local successful-use flag; s2 zero at 0x80018080 and one at 0x80018460; byte-mask consumer	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x80036af0	player_warp_trigger_update	return	u32	KfBoolU32	two completion paths return one; every other exit returns zero; sole caller game_main_loop tests result	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x8002c510	memory_card_show_status_message	result	s32	KfBool32	receives menu_load_message_image failure flag and compares to one; enclosing function remains s32 with explicit -1 and fallthrough	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x8002c5e0	menu_load_message_image	return	s32	KfBool32	true means CD-load failure; zero on successful upload or skip; preserve failure polarity and sole caller	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
GAME.EXE	0x8002c794	screen_show_image_until_input	pressed	u8	KfBool8	input-release latch starts zero and becomes one at 0x8002c958; framebuffer index stays numeric	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
OPEN.EXE	0x80015cd4	angle_mod_delta_le_half_turn	return	int	KfBool	same 16-byte modular predicate as GAME; no admitted direct caller; preserve int source signature	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
OPEN.EXE	0x80019a24	opening_entity_pool_load_placements	exhausted	u16	KfBool16	retail t3 zero at 0x80019a24 and one at 0x80019b80; 16-bit mask and equality-to-one consumer	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
OPEN.EXE	0x80015c98	angle_within_tolerance	return	int	KfBool	same 60-byte tolerance predicate as GAME; no admitted direct caller	100.000000000%	supported Boolean; bytes and ordered relocations unchanged; exact
