id	file	line	column	contexts	direction	provenance	source_type	target_type	verdict	finding	review	source_anchor
V01	src/game/audio.c	45	35	GAME.EXE@0x800328e0:audio_initialize	from-void	restored	void *	u_long *	retain	ALLOC	Sequence allocation is word-aligned storage consumed by SsSeqOpen(unsigned long *); retain the authentic SDK pointer, not an invented sequence struct. GAME budgets 0x3000; OPEN 0x4800.	audio_state.sequence_buffer = (u_long *)memory_allocate(GAME_SEQUENCE_BUFFER_BYTES);
V02	src/game/audio.c	77	31	GAME.EXE@0x80032a4c:audio_play_map_sequence	to-void	introduced	u_long *	void *	retain-with-precondition	CD	Sequence storage passes through the heterogeneous file loader, then returns unchanged to SsSeqOpen. Correct SDK word type; sector-rounded file length must fit the fixed allocation.	if (cd_file_load_into((void *)audio_state.sequence_buffer, path) == KF_RESOURCE_LOADED) {
V03	src/game/cd_file.c	47	20	GAME.EXE@0x8001acf0:cd_file_load_allocated	from-void	restored	void *	u8 *	retain	ALLOC	Path-based loader rounds the file length to 2048 before allocating that same size; u8 * is the raw serialized-file base, not a complete parsed asset.	*destination = (u8 *)memory_allocate(cd_search_file.size);
V04	src/game/cd_file.c	82	65	GAME.EXE@0x8001ae60:cd_file_load_table_entry	from-void	restored	void *	u_long *	narrow-interface	ITEM	The indexed loader allocates a sector-rounded entry then feeds CdRead's u_long * API. item_load_database populates this table only with ITEMn/Ixxx.TMD paths; review its void ** result together with site 12.	CdRead(cd_file_table[index].size >> KF_CD_SECTOR_SHIFT, (u_long *)*destination, CdlModeSpeed);
V05	src/game/cd_file.c	120	59	GAME.EXE@0x8001af9c:cd_file_load_into	from-void	restored	void *	u_long *	retain-with-precondition	CD	CdRead requires u_long *; this wrapper accepts heterogeneous writable storage. Preserve SDK prototype; void * does not certify alignment or sector-rounded capacity (site 48 fails the latter).	CdRead(cd_search_file.size >> KF_CD_SECTOR_SHIFT, (u_long *)destination, CdlModeSpeed);
V06	src/game/main.c	25	14	GAME.EXE@0x8001428c:main	to-void	introduced	u8[]	void *	retain	HEAP	BSS_END is a linker boundary declared u8[], not a typed game object. InitHeap receives its raw base and the overlay-stack gap; original boundary-definition provenance remains open.	InitHeap((void *)BSS_END, OVERLAY_STACK_BOTTOM - (u32)BSS_END);
V07	src/game/memory.c	55	30	GAME.EXE@0x8001ab08:memory_set_allocation_mode;OPEN.EXE@0x80015e2c:memory_set_allocation_mode	from-void	restored	void *	u8 *	retain	ALLOC	malloc-backed arena is subsequently traversed in bytes and split by the shared allocator. u8 * describes cursor arithmetic; allocator return remains heterogeneous in both images.	memory_arena.start = (u8 *)memory_malloc_checked(MEMORY_INITIAL_ARENA_BYTES);
V08	src/game/memory.c	80	14	GAME.EXE@0x8001abd0:memory_reset_system_heap;OPEN.EXE@0x80015ef4:memory_reset_system_heap	to-void	introduced	u8 *	void *	retain	HEAP	Byte cursor system_heap_start plus computed size describes a raw heap interval. InitHeap's void * in the project ABI shim is appropriate; not proof of an original game declaration.	InitHeap((void *)memory_arena.system_heap_start, memory_arena.system_heap_size);
V09	src/game/memory.c	98	17	GAME.EXE@0x8001ac0c:memory_allocate;OPEN.EXE@0x80015f30:memory_allocate	to-void	introduced	u8 *	void *	retain	ALLOC	Arena branch returns the current byte cursor before rounding/bumping by four; heap branch returns malloc storage. A common void * return reflects genuinely heterogeneous clients.	block = (void *)*cursor;
V10	src/game/menu_map_viewer.c	43	27	GAME.EXE@0x80022d7c:menu_map_viewer	to-void	introduced	u8 *	void *	retain-with-precondition	CD	MAP/Mxx image is loaded at the active primitive cursor and parsed as TIM (site 11). u8 * cursor is appropriate; remaining capacity, not the full primitive-buffer size, is the read precondition.	if (cd_file_load_into((void *)buffer, path) != KF_RESOURCE_LOADED)
V11	src/game/menu_map_viewer.c	45	23	GAME.EXE@0x80022d7c:menu_map_viewer	to-void	introduced	u8 *	void *	narrow-interface	TIM	Map-viewer byte cursor immediately becomes a TIM input; homogeneous wrapper need not erase this to void *.	tim_upload_images((void *)buffer);
V12	src/game/menu_runtime.c	2337	45	GAME.EXE@0x8002aea4:menu_load_item_model	from-void	restored	void *	KfTmdHeader *	narrow-interface	ITEM	Indexed table producer formats only TMD paths; sole source caller registers this allocation as KfTmdHeader. Prefer a consistent raw-byte loader result or an evidence-backed TMD-specific loader; never cast KfTmdHeader ** to void **.	tmd_register(KF_TMD_SLOT_MENU_ITEM, (KfTmdHeader *)asset);
V13	src/game/menu_runtime.c	2365	31	GAME.EXE@0x8002af48:menu_load_item_texture	to-void	introduced	u8 *	void *	retain-with-precondition	CD	TIM/Mxxx image is loaded at the active primitive cursor and uploaded (site 14). u8 * is an honest byte-arena view; remaining capacity and sector rounding are not carried by the API.	if (cd_file_load_into((void *)destination, name) != KF_RESOURCE_LOADED) {
