candidate	verdict	proposed_scope	proposed_form	source_count	decision
actor-facing	retained	shared header	macro	2	ACTOR_BEARING_TO_PLAYER in kf/game_actor.h shares nine same-subtraction bearing sites across actor/behavior TUs. Both complete objects baseline-byte-identical and all functions strict 100%. Inline changed the player-position base lifetime in actor_try_select_profiled_action (98.29365%); direct expression macro is exact. Opposite-Z projectile and home bearing forms remain explicit.
actor-home-init	retained	current TU	static inline	1	Local actor_initialize_at_home shares the typed home position, floor query, position/rotation publication and initialization. Both entry points remain strict 100% with identical function bytes. Slot lifecycle publication remains the slot caller.
actor-player-distance	retained	current TU	static inline	1	Local actor_player_distance in actor_behavior.c replaces ten bounded player-XZ queries and keeps activation/active range at each call. Complete behavior object baseline-byte-identical and all functions strict 100%.
alignment	keep	current owners	existing source	1	Only the shared allocator needs this four-byte align-up expression. A new general alignment macro has no demonstrated cross-TU benefit.
angle-wrap	keep	current owners	existing source	1	Existing named angle helpers and KF_ANGLE_WRAP_MASK explain wrapping; angle_approach has directional clamps and half-turn policy that do not belong in a generic wrap helper.
animated-projection	keep	current owners	existing source	3	Cache fallback, visibility, depth shifts and selected model differ among actor, sprite and event renderers. Keep wrappers and existing projector calls.
armor-defense	keep	current owners	existing source	1	Armor summation is one local six-slot operation with special item rules; no cross-TU implementation to share.
armor-record	keep	current owners	existing source	4	Existing equipment-slot API and typed tables already expose the category boundary. A new indexing macro would hide differing slot/item domains.
audio-pan	keep	current owners	existing source	2	GAME and OPEN pan/equal-channel calculations differ, including which attenuation/level value is published. Keep formulas explicit.
audio-sequence-close	retained	shared header	macro	2	AUDIO_SEQUENCE_STOP_AND_CLOSE: ordered SDK stop, close, inactive publication; inline control rejected after strict-byte regression.
audio-sequence-open	keep	current owners	existing source	2	Map sequence and filename sequence paths differ in loading, playback and volume policy. Existing loaders plus SDK calls suffice.
audio-voice-reset	retained	shared header	static inline	2	audio_reset_voice_slots/audio_key_on_next_slot in kf/audio.h share the descending reset and ring/keyoff/publication/keyon operation with original signed-halfword SDK arguments. All three caller objects are baseline-byte-identical and strict 100%; guards and initialization policies remain callers.
audio-voice-slot	retained	shared header	static inline	2	audio_reset_voice_slots/audio_key_on_next_slot in kf/audio.h share the descending reset and ring/keyoff/publication/keyon operation with original signed-halfword SDK arguments. All three caller objects are baseline-byte-identical and strict 100%; guards and initialization policies remain callers.
bounded-distance2	rejected-trial	shared header	existing source	4	Rejected bounded inline trial: event/object 93.690475%, actor 91.46667%, player 92.13115%. First arithmetic divergence changes shifted-value destinations and multiply sum order; helper return introduces a new result move/branch tail. Actor/player also interleave the X shift with their vertical interval check. Retain these bounds and existing arithmetic; a macro owning caller returns/breaks would obscure those policies. Original bodies restored.
camera-fixed-state	retained	shared header	static inline	2	camera_path_publish_fixed/camera_path_advance_pose in kf/game_map.h share Q4 publication and pose advancement. Both camera objects are baseline-byte-identical and all functions strict 100%. Segment selection and recomputation remain image-specific.
camera-segment	keep	current owners	existing source	2	Do not merge complete segment routines: GAME selects before incrementing while OPEN increments before selecting. Smaller Q4 and length recommendations cover common arithmetic.
camera-step	retained	shared header	static inline	2	camera_path_publish_fixed/camera_path_advance_pose in kf/game_map.h share Q4 publication and pose advancement. Both camera objects are baseline-byte-identical and all functions strict 100%. Segment selection and recomputation remain image-specific.
card-new-device	retained	current TU	static inline	1	Local memory_card_acknowledge_new_device shares three ordered pairs of clear/new-card/status operations. Format/write/read-header wrappers remain strict 100% with identical function bytes. Stale-catalog read-slot handling remains distinct.
cd-location	retained	shared header	macro	3	CD_LOCATION_COPY in kf/cd_file.h retains three ordered byte writes and the untouched track byte across six sites in three TUs. All complete objects baseline-byte-identical and strict 100%. Inline preloaded the table fields (87.21519%); pointer macro changed table address reuse (91.81013%); direct record-lvalue macro preserves retail addressing.
cd-path	keep	current owners	existing source	2	Directory prefix and suffix assembly is clear in existing CD loaders; a broad pathname macro adds hidden buffer/length assumptions.
cd-read	keep	current owners	existing source	3	Retry limits, fatal versus returned errors, record types and allocation lifetimes differ. Keep existing loader APIs rather than one generic CD-read macro.
cell-window-test	keep	current owners	existing source	2	Signed differences, u16 origin wrapping and capacity/visibility gates vary; preserve the window tests next to their entity loops.
cell-window-walk	keep	current owners	existing source	2	GAME and OPEN coordinate-window walking has different culling and map-render context. No demonstrated small operation beyond existing map helpers.
collision-target	keep	current owners	existing source	1	Target snapshots come from different entity types and use distinct flags. A field-setting macro would hide collision ownership.
collision-targets	keep	current owners	existing source	1	Keep target-specific calls in the existing local collision helper; share only the terrain-membership predicate recommended separately.
combat-component	keep	current owners	existing source	1	actor_apply_damage already calls the named component calculation. Component mapping and special actor policy should stay explicit.
combat-component-rejected	keep	current owners	existing source	2	Actor formula adds base power to attack; player formula augments defense. Similar code is not a shared damage formula.
cone-angle-error	retained	shared header	static inline	3	angle_error_magnitude in kf/game_math.h shares signed-halfword wrapping and half-turn fold in actor/event/player cone checks. All three cone functions remain strict 100% with identical function bytes.
current-color-blend	retained	current TU	static inline	1	Local lighting_blend_current_color in lighting_presets.c shares the three current-matrix snapshot/blend sites. Complete object baseline-byte-identical, three functions strict 100%. Other player fades keep a snapshot across frames or use fixed matrices, so the helper remains local.
decimal-path	retained	shared header	macro	5	CD_PATH_WRITE_DECIMAL3 in kf/cd_file.h names two signed three-character TIM path writes. Complete menu/save objects baseline-byte-identical; loaders strict 100%, existing menu detail residue unchanged. Inline reordered quotient/remainder destinations and stores (93.77631%/93.62666%); block macro retained a separate remainder local (86.25%/94.94666%). Sequenced expression macro is exact. Two-digit and noncontiguous field builders remain explicit.
