# Reviewed semantic identities for the GAME CD/TIM/map-resource loading family.
# Every row was checked with kf sema addr/disasm --blocks/xref/xref --callees/strings/match, decoded callers,
# adjacent boundaries, Ghidra candidates, source/history state, raw object disassembly, and FID/vendor controls.
# Shared paths, archives, direct call chains, one compiler profile, contiguous code, and one contiguous literal pool support the consolidated resources TU.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8001acf0	0x170	cd-file	100.000000000% exact	framed retry loop prefixes the supplied relative path with \\KF\\, appends ;1, locates the file, rounds its length to 2048 bytes, allocates storage, writes the output slot, and drives CdControl/CdRead/CdReadSync until completion	four callers pass a stack address for the result and a read-only relative path; the returned allocation feeds TIM, common-resource, and weapon loaders	first a0 is only written through as a pointer-sized result slot; a1 is consumed by strcat; callers treat v0 as a signed zero/nonzero status	absent from functions_vendored.tsv and the FID census; identified libc/CD services are callees while allocation, retry, and output-slot policy are game-owned	cd_file_load_allocated	KfResourceLoadResult cd_file_load_allocated(void **data_out, const char *relative_path)	supported behavior and signature with exact C reconstruction
GAME.EXE	0x8001af9c	0x164	cd-file	100.000000000% exact	framed retry loop constructs the same \\KF\\ disc path, locates and sector-rounds the file, and drives CdControl/CdRead/CdReadSync into caller-owned storage	eleven callers supply stack, asset, screen, save-icon, weapon, or audio destinations plus read-only relative paths; several test the returned status	full-width a0 is forwarded as the destination address, a1 is consumed as a string, and callers use v0 as a signed zero/nonzero result	absent from functions_vendored.tsv and the FID census; identified libc/CD services are callees while destination and retry policy are game-owned	cd_file_load_into	KfResourceLoadResult cd_file_load_into(void *destination, const char *relative_path)	supported behavior and signature with exact C reconstruction
GAME.EXE	0x8001b100	0x80	tim-upload	100.000000000% exact	seven-block loop calls OpenTIM once, repeatedly fills one 0x14-byte TIM_IMAGE with ReadTIM, and conditionally uploads the CLUT then pixel image with a DrawSync after each LoadImage	eight callers pass loaded TIM buffers; all four service identities and the TIM_IMAGE field order are from Psy-Q Release 2.5 LIBGPU.H	a0 is forwarded unchanged to OpenTIM as u_long pointer; no result escapes	absent from functions_vendored.tsv and the FID census; OpenTIM, ReadTIM, LoadImage, and DrawSync are separately proved vendored callees, not bodies reconstructed as game progress	tim_upload_images	void tim_upload_images(u_long * tim_data)	supported SDK-boundary type and exact C reconstruction
GAME.EXE	0x8001b180	0x210	common-resources	100.000000000% exact	large startup orchestrator loads COM\\MIX.TIM and COM\\COM.DAT, uploads and releases the TIM, then walks length-prefixed records and copies the level-growth table	sole caller is game_main_loop; invokes the TIM, CD, weapon-record, asset-aux, actor-definition, and map-object-definition loaders and copies a 4-byte chunk header plus 0xcc0 bytes of render_cell_windows and forty 0x0c growth records	no argument register is live at entry and no result escapes	absent from functions_vendored.tsv and the FID census; linked Sony/libc routines are identified callees while archive layout and subsystem distribution are game-owned	common_resources_load	void common_resources_load(void)	supported startup/resource identity with exact C reconstruction in the consolidated resources TU
GAME.EXE	0x8001b390	0x14	map-resource-path	100.000000000% exact	straight-line leaf adds ASCII zero to its argument, stores the low byte at map_resource_path+1, and returns with a nop delay slot	sole caller passes the current floor before loading MIX.TIM, MIXA.DAT, and MIXB.DAT; initial path bytes are B0\\	the caller loads an u8 field, O32 promotes it, and the exact callee consumes the full s32 argument before its byte store	absent from functions_vendored.tsv and the FID census; mutable game path selection has no libc or SDK body analogue	map_resource_path_set_floor	void map_resource_path_set_floor(KfFloorId floor)	supported path-byte action and exact C reconstruction
GAME.EXE	0x8001b3a4	0x40	map-resource-file	100.000000000% exact	framed wrapper copies the supplied filename to map_resource_path+3, calls the allocated CD loader with a stack output slot, and returns that pointer	three calls from map_resources_load supply MIX.TIM, MIXA.DAT, and MIXB.DAT; the shared 12-byte path preserves B0\\ plus a nine-byte filename including NUL	a0 is consumed as const string input and v0 returns the pointer written to the stack slot	absent from functions_vendored.tsv and the FID census; strcpy is an identified vendored callee while map path/allocation composition is game-owned	map_resource_load_file	void * map_resource_load_file(const char * filename)	supported filename and pointer-return contract with exact C reconstruction
GAME.EXE	0x8001b3e4	0x30	map-resource-copy	100.000000000% exact	two-block aligned word loop copies source to destination, owns the decrementing branch delay slots, and returns the advanced source cursor in the jr delay slot	five chained calls copy 0x9c4 words each into the attribute-height, floor-height, orientation, collision-flag, and collision grids; there are no other callers	a0 advances as writable u32 destination, a1 advances as read-only u32 source and is returned, and a2 is an unsigned loop count	absent from functions_vendored.tsv and the FID census; its only call family and cursor-return contract reject a generic memcpy identity	map_resource_copy_words	const u32 * map_resource_copy_words(u32 * destination, const u32 * source, u32 word_count)	supported map-archive cursor contract and exact C reconstruction
GAME.EXE	0x8001b414	0x88	map-variant-assets	100.000000000% exact	framed body copies the complete nine-byte CHR0.MIM template into map_resource_path+3, patches byte six from player_map_variant, reloads the persistent buffer slot around the file-load call, and registers the archive at asset zero	called by the main map loader and two floor-five transition paths; reads map_variant_asset_buffer and player_map_variant and calls cd_file_load_into plus asset_registry_load_tmd_archive	no live input or result; literal-copy width and lbu establish the complete filename and u8 variant	absent from functions_vendored.tsv and the FID census; memcpy is compiler-inlined and both direct callees are game wrappers/orchestrators	map_variant_assets_load	void map_variant_assets_load(void)	supported data ownership and exact C reconstruction; the saved slot address preserves the observed reload across calls without inventing an enclosing state struct
GAME.EXE	0x8001b49c	0xbc	map-audio-sequence	100.000000000% exact	sparse switch over current floor selects sequence one for floor one at level 15, floor two at level 25, or floor five variant three, then shares one audio call tail	callers replay music after settings or map/variant transitions; reads KfPlayerProgressState.level/current_floor and player_map_variant and calls audio_play_map_sequence	no live input or result; all three fields use lbu and the selected argument is zero or one	absent from functions_vendored.tsv and the FID census; the audio callee is game policy around LIBSND, while floor/level/variant selection is game-owned	audio_play_current_map_sequence	void audio_play_current_map_sequence(void)	supported switch semantics and exact C reconstruction
GAME.EXE	0x8001b558	0x258	map-resources	100.000000000% exact	large orchestrator stops audio, resets map/runtime memory, loads MIX.TIM/MIXA.DAT/MIXB.DAT, chains five map grids, expands actor/object/event records, registers multiple TMD archives, and chooses embedded or external variant assets	sole decoded caller passes lbu current_floor and lbu player_map_variant; direct calls and strings establish every major archive stage and the 0x5a000 external-variant allocation	the caller loads two u8 fields, O32 promotes them, and the exact callee consumes full s32 arguments; no result escapes	absent from functions_vendored.tsv and the FID census; linked SDK services are below reviewed game loaders and all archive/entity policy is game-owned	map_resources_load	void map_resources_load(KfFloorId floor, KF_ENUM_PARAM(KfMapVariant, s32) map_variant)	supported orchestration, arguments, and resource ownership with exact C reconstruction in the consolidated resources TU
