# Reviewed semantic identities for the homologous GAME/OPEN LIFO memory-allocation subsystem.
# Every row was checked with kf sema addr/disasm --blocks/xref/strings, Ghidra candidates, decoded callers/callees,
# adjacent boundaries, source/history/match state, and FID/vendor controls. Cross-overlay instruction shape and
# a constant 0x4cdc address delta support shared source lineage; no original symbol, TU, or aggregate state struct is claimed.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8001aab0	0x38	memory-guard	no reconstruction unit	one call and branchless pointer-range mask preserve the malloc return only through KSEG0 address 0x801fffff	calls exact Psy-Q LIBAPI C51 malloc; three confirmed callers pass 0x100000, a forwarded byte count, or a u16 count shifted by three	a0 is live across the malloc call even though Ghidra omits it; Psy-Q MALLOC.H uses signed long size and the result is consumed as a pointer	absent from vendored/FID inventories; the called malloc body is separately proved vendored	memory_malloc_checked	void * memory_malloc_checked(s32 size)	supported range guard and signed byte-count contract; original symbol and TU remain unresolved
GAME.EXE	0x8001aae8	0x20	memory-state	no reconstruction unit	straight-line leaf loads arena start then stores cursor and zero depth	called by mode setup and loading transitions; reads memory_arena_start and writes memory_arena_cursor and memory_allocation_stack[0]	no live arguments or escaping result; all three data widths are direct word accesses	absent from vendored/FID inventories; state policy is game-owned	memory_allocation_reset	void memory_allocation_reset(void)	supported reset behavior and state identities; no aggregate struct is inferred from adjacency
GAME.EXE	0x8001ab08	0xa8	memory-mode	no reconstruction unit	seven-way CFG implements signed mode selection for 0, 1, and 2 plus no-op defaults	startup passes modes 0 then 1 and transitions pass mode 2; calls memory_malloc_checked and memory_allocation_reset; writes start, inclusive end, and cursor	mode is tested by signed slti and equality branches; no result escapes	absent from vendored/FID inventories; allocation-mode policy is game-owned	memory_set_allocation_mode	void memory_set_allocation_mode(KfMemoryAllocationMode mode)	supported three-mode contract; GAME mode 1 reserves 0xff000 bytes while OPEN reserves 0x113000
GAME.EXE	0x8001abb0	0x20	memory-heap	no reconstruction unit	straight-line leaf computes inclusive arena end plus one	startup calls it after mode 1; reads memory_arena_end and writes memory_system_heap_start	no live arguments or escaping result; word load/store and addiu one establish pointer arithmetic	absent from vendored/FID inventories; heap-boundary policy is game-owned	memory_capture_system_heap_start	void memory_capture_system_heap_start(void)	supported boundary capture; source linkage remains unresolved
GAME.EXE	0x8001abd0	0x3c	memory-heap	no reconstruction unit	straight-line framed call computes 0x801f8000 minus heap start and invokes InitHeap	startup and transition callers reuse it; reads memory_system_heap_start, writes memory_system_heap_size, and calls Psy-Q InitHeap	no live arguments or result; MALLOC.H declares InitHeap(void *, long), supporting pointer and s32 size	absent from vendored/FID inventories; called InitHeap is vendored	memory_reset_system_heap	void memory_reset_system_heap(void)	supported InitHeap boundary and signed byte count; original symbol and TU remain unresolved
GAME.EXE	0x8001ac0c	0x80	memory-lifo	no reconstruction unit	two-path CFG chooses checked heap allocation or four-byte-aligned arena bump, then pushes one entry	seven callers allocate motion, save, CD-load, and audio buffers; reads cursor/depth and writes cursor/depth plus memory_allocation_stack[index]	a0 is a signed long byte count; v0 is null-checked and used as a pointer; indexed stride four and adjacent pop prove u32[16] entries	absent from vendored/FID inventories; allocator policy is game-owned	memory_allocate	void * memory_allocate(s32 size)	supported dual-mode allocator and return contract; the fixed 16-entry capacity has no observed overflow guard
GAME.EXE	0x8001ac8c	0x64	memory-lifo	no reconstruction unit	two-path CFG decrements depth, loads the indexed entry, then rewinds the arena or calls free	confirmed callers pair it with temporary allocations; reads and writes cursor/depth and reads memory_allocation_stack[index]	no live arguments or escaping result; stride-four indexing and signed subtraction preserve the entry's mode-dependent u32 representation	absent from vendored/FID inventories; called free is vendored	memory_release_last	void memory_release_last(void)	supported LIFO pop behavior; no underflow guard is present
OPEN.EXE	0x80015dd4	0x38	memory-guard	no reconstruction unit	one call and branchless pointer-range mask preserve the malloc return only through KSEG0 address 0x801fffff	calls exact Psy-Q LIBAPI C51 malloc; mode setup and the dual-mode allocator pass byte counts	a0 is live across the malloc call even though Ghidra omits it; Psy-Q MALLOC.H uses signed long size and the result is consumed as a pointer	absent from vendored/FID inventories; the called malloc body is separately proved vendored	memory_malloc_checked	void * memory_malloc_checked(s32 size)	supported range guard and signed byte-count contract; original symbol and TU remain unresolved
OPEN.EXE	0x80015e0c	0x20	memory-state	no reconstruction unit	straight-line leaf loads arena start then stores cursor and zero depth	six confirmed callers reset loading phases; reads memory_arena_start and writes memory_arena_cursor and memory_allocation_stack[0]	no live arguments or escaping result; all three data widths are direct word accesses	absent from vendored/FID inventories; state policy is game-owned	memory_allocation_reset	void memory_allocation_reset(void)	supported reset behavior and state identities; no aggregate struct is inferred from adjacency
OPEN.EXE	0x80015e2c	0xa8	memory-mode	no reconstruction unit	seven-way CFG implements signed mode selection for 0, 1, and 2 plus no-op defaults	startup and loading transitions pass the three literal modes; calls memory_malloc_checked and memory_allocation_reset; writes start, inclusive end, and cursor	mode is tested by signed slti and equality branches; no result escapes	absent from vendored/FID inventories; allocation-mode policy is game-owned	memory_set_allocation_mode	void memory_set_allocation_mode(KfMemoryAllocationMode mode)	supported three-mode contract; OPEN mode 1 reserves 0x113000 bytes while GAME reserves 0xff000
