# Reviewed semantic identities for the GAME memory-card, save-file, and menu-feedback family.
# Every row was checked with kf sema addr/disasm --blocks/xref/strings/match. Except for the explicitly
# described generic 0x20-byte release wrapper, the functions are absent from both functions_vendored.tsv
# and the pinned Psy-Q FID census. BIOS/Psy-Q calls are callees, not evidence that these wrappers are SDK code.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8002b078	0xd8	save-system	no reconstruction unit	2 calls; 4 branches; common jr delay; four-entry directory loop	read-header result gates six-u32 copies from save_header_buffer+0x220 into caller stack arrays	caller passes KfSaveSlotSummary storage; returns signed status	absent from vendored/FID inventories	save_system_read_catalog	KfSaveResult save_system_read_catalog(KfSaveSlotSummary *summaries)	supported; retail's 0x24-byte clear is retained as an observed quirk
GAME.EXE	0x8002b150	0x84	menu-feedback	no reconstruction unit	3 calls; 4 branches; three cue arms; jr frame delay	92 proven callers; cue 0/1/other selects LIBSND voice/tone then waits and keys off	a0 is compared as s32; no value is returned	absent from vendored/FID inventories; LIBSND functions are only callees	menu_play_input_sound	void menu_play_input_sound(s32 cue)	supported
GAME.EXE	0x8002b1d4	0x100	memory-card	no reconstruction unit	12 calls; straight line; every call and return has a delay slot	OpenEvent uses HwCARD with EvSpIOE/TIMOUT/NEW/ERROR and EvMdNOINTR; stores four named handles	no live arguments; no return value	absent from vendored/FID inventories; constants match pinned KERNEL.H	memory_card_initialize	void memory_card_initialize(void)	supported
GAME.EXE	0x8002b2d4	0x60	memory-card	95.000000000%	5 calls; straight-line shutdown wrapper; nop call delays	StopCARD2 then CloseEvent for the four typed card handles	no live arguments; no return value	absent from vendored/FID inventories	memory_card_shutdown_events	void memory_card_shutdown_events(void)	supported; existing C remains non-exact
GAME.EXE	0x8002b334	0x38	memory-card	91.428570000%	3 calls; one operation-start guard; common jr delay	clears events, starts _card_info(0), then waits for a completion event only if the request started; returns zero otherwise	no arguments; v0 is the event result	absent from vendored/FID inventories	memory_card_begin_status_check	KfSaveStatus memory_card_begin_status_check(void)	supported; existing C remains non-exact
GAME.EXE	0x8002b36c	0x58	memory-card	94.545456000%	4 calls; straight line; nop call delays	TestEvent on the four typed handles clears pending event delivery	no live arguments; no return value	absent from vendored/FID inventories	memory_card_clear_events	void memory_card_clear_events(void)	supported; existing C remains non-exact
GAME.EXE	0x8002b3c4	0xbc	memory-card	no reconstruction unit	8 calls; 7 branches; polling loop with four return arms	TestEvent order matches IOE, timeout, new-device, error handles; undelivers before codes 1..4	no arguments; v0 carries a signed small status code	absent from vendored/FID inventories	memory_card_wait_event	KfSaveStatus memory_card_wait_event(void)	supported
GAME.EXE	0x8002b480	0x58	memory-card	94.545456000%	4 calls; straight line; nop call delays	UnDeliverEvent on the four typed handles	no live arguments; no return value	absent from vendored/FID inventories	memory_card_undeliver_events	void memory_card_undeliver_events(void)	supported; existing C remains non-exact
GAME.EXE	0x8002b4d8	0xf8	memory-card	no reconstruction unit	10 calls; 8 branches; new-card refresh plus result switch	format path is gated by caller flag; status-message helper handles failures; only proven caller passes one	sll/sra preserves signed s16 flag; returns mapped s32 menu result	absent from vendored/FID inventories	memory_card_check_or_format	KfSaveResult memory_card_check_or_format(KfCardFormatConfirmation confirmation)	supported
GAME.EXE	0x8002b5d0	0x78	memory-card	no reconstruction unit	3 calls; 3 branches; at-most-five retry loop	format(memory_card_root_path) followed by asynchronous status check	no arguments; returns status or 0x0b failure	the implementation is game retry policy around BIOS calls; absent from vendored/FID inventories	memory_card_format	KfSaveStatus memory_card_format(void)	supported
