# Reviewed semantic identities for GAME actor targeting, collision, animation, action selection, and awareness.
# Every row was checked with kf sema addr/disasm --blocks/xref/strings/match, caller/callee review, Ghidra,
# and the pinned Psy-Q FID/vendor inventories. Names describe observed effects, not recovered original spelling.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8002d4a8	0x1f8	actor-combat	no reconstruction unit	14 CFG blocks; 128-record scan with current-actor exclusion and distance falloff	calls actor_distance_to_point then actor_apply_damage; reads actor_pool and current_actor	a0 is a three-word origin vector; radius is s32 arithmetic; nine stack inputs are consumed as u16 combat values	absent from vendored/FID inventories	actor_pool_apply_radial_damage	void actor_pool_apply_radial_damage(const KfVec3i *origin, u32 radius, u16 falloff, u16 base_power, u16 component0, u16 component1, u16 component2, u16 component3, u16 component4, u16 scale, u16 hit_flags)	supported; component meanings remain deliberately numbered
GAME.EXE	0x8002d6a0	0x158	actor-combat	100.000000000% exact	8 CFG blocks; range, angle, and random-gate early returns	measures current_actor against actor_player_position; successful path calls the five-component player damage routine	four live inputs are narrowed by halfword/angle operations; no value escapes	absent from vendored/FID inventories	actor_try_attack_player	void actor_try_attack_player(u16 minimum_distance, u16 maximum_distance, s16 angle_offset, s16 angle_tolerance)	supported effect and exact reconstruction; callee's original name remains unresolved
GAME.EXE	0x8002d7f8	0x184	actor-targeting	100.000000000% exact	12 CFG blocks; 128-record best-angular-error scan	calls actor_distance_to_point and vector_xz_to_angle; returns a pointer within actor_pool and writes the chosen distance; all six caller sites reviewed in game-actor-cone-search.md	a0 addresses three s32 coordinates; all callers supply promoted signed-halfword yaw at a1; a2 is a word distance bound; a3 is signed word tolerance; stack argument is s32 output; short-angle computation discards unused high facing bits	absent from vendored/FID inventories	actor_pool_find_target_in_cone	KfActor * actor_pool_find_target_in_cone(const KfVec3i *origin, s16 facing, u32 max_distance, s32 angle_tolerance, s32 *distance_out)	supported and exact reconstruction; all 97 words and six ordered relocations agree; lack of argument extension alone does not prove a word parameter
GAME.EXE	0x8002d97c	0xf0	actor-collision	99.333336000% fuzzy	10 CFG blocks; horizontal early bounds and vertical interval rejection before square root	all nine proven caller sites reviewed; reads actor position and calls SquareRoot0; direct center expression restores the retail Y-load order	a0 is an actor pointer; six scalar inputs remain signed s32 through coordinate and interval arithmetic; returns distance or -1	absent from vendored/FID inventories; SquareRoot0 is only a callee	actor_distance_to_point	s32 actor_distance_to_point(const KfActor *actor, s32 point_x, s32 point_y, s32 point_z, s32 max_distance, s32 actor_height, s32 point_height)	supported; seven words still exchange t1/t2 roles for actor height and negative bound; unattributed and not banked; game-volume-distance.md
GAME.EXE	0x8002da6c	0x144	actor-collision	no reconstruction unit	11 CFG blocks; first-match scan over 128 records	reads current_actor, actor_pool, and definition collision radius/height before calling actor_distance_to_point	five signed coordinate/volume inputs; result is a pool index or -1	absent from vendored/FID inventories	actor_pool_find_overlap	s32 actor_pool_find_overlap(s32 x, s32 y, s32 z, s32 extra_radius, s32 point_height)	supported
GAME.EXE	0x8002dc3c	0x34	actor-animation	100.000000000% exact	4 CFG blocks; signed absolute-value branch and 12-bit wrap	writes actor offsets 0x3c and 0x12; callers are actor action-state handlers	a0 is KfActor; a1 is a signed animation delta; no return value	absent from vendored/FID inventories	actor_advance_animation_wrapped	void actor_advance_animation_wrapped(KfActor *actor, s16 delta)	supported and exact reconstruction
GAME.EXE	0x8002dc70	0x5c	actor-animation	100.000000000% exact	8 CFG blocks; signed absolute-value branch plus low/high clamps	writes actor offsets 0x3c and 0x12; callers are actor action-state handlers	a0 is KfActor; a1 is a signed animation delta; no return value	absent from vendored/FID inventories	actor_advance_animation_clamped	void actor_advance_animation_clamped(KfActor *actor, s16 delta)	supported and exact reconstruction
GAME.EXE	0x8002dccc	0x30	actor-animation	no reconstruction unit	3 CFG blocks; leaf threshold comparison	reads animation_phase and subtracts animation_step to recover the preceding phase	a0 is const KfActor; a1 is compared as a 16-bit phase; returns boolean	absent from vendored/FID inventories	actor_animation_crossed_phase	bool actor_animation_crossed_phase(const KfActor *actor, u16 phase)	supported
GAME.EXE	0x8002dcfc	0x98	actor-audio	no reconstruction unit	7 CFG blocks; guarded phase test and positional audio call	uses current_actor and actor_animation_crossed_phase; action handlers supply definition sound references	a0 is the three-byte SoundRef proven by the reviewed positional-audio callers; a1 is a u16 animation phase	absent from vendored/FID inventories; audio functions are only callees	actor_play_sound_at_phase	void actor_play_sound_at_phase(const SoundRef *sound, u16 phase)	supported effect and sound-reference layout; field bytes are program, tone, and note
GAME.EXE	0x8002dd94	0x120	actor-action	no reconstruction unit	15 CFG blocks with availability, timer, distance, random, and angle exits	only actor_select_next_action calls it; reads current_actor and current_actor_definition	a0 and result are signed-byte action or -1; distance is s32; chance and scale are narrowed to u16	absent from vendored/FID inventories	actor_try_select_action_distance_facing	u8 actor_try_select_action_distance_facing(u8 action, s32 distance, u16 chance, u16 distance_scale)	supported; exact action enum labels remain unknown
GAME.EXE	0x8002deb4	0x164	actor-action	no reconstruction unit	14 CFG blocks with floor, target, distance, random, and facing exits	only actor_select_next_action calls it; special branch compares player_target_actor with current_actor	a0 and result are signed-byte action or -1; distance is s32; chance is narrowed to u16	absent from vendored/FID inventories	actor_try_select_ground_action	u8 actor_try_select_ground_action(u8 action, s32 distance, u16 chance)	supported; exact action enum labels remain unknown
GAME.EXE	0x8002e018	0xd8	actor-action	no reconstruction unit	10 CFG blocks with distance-band, random, and facing exits	only actor_select_next_action calls it; reads current actor and definition state	a0 and result are signed-byte action or -1; distance is s32; chance is narrowed to u16	absent from vendored/FID inventories	actor_try_select_facing_action	u8 actor_try_select_facing_action(u8 action, s32 distance, u16 chance)	supported; exact action enum labels remain unknown
GAME.EXE	0x8002e0f0	0x1f8	actor-action	no reconstruction unit	23 CFG blocks selecting weighted behavior by distance band	indexes actor_action_profiles at a ten-byte stride; only actor_select_next_action calls it	a0 and result are signed-byte action or -1; a1 distance is s32; profile is masked to five bits; chance is u16	absent from vendored/FID inventories	actor_try_select_profiled_action	u8 actor_try_select_profiled_action(u8 action, s32 distance, u8 profile_index, u16 chance)	supported; profile field labels describe use, not original names
GAME.EXE	0x8002e2e8	0x3c0	actor-action	no reconstruction unit	64 CFG blocks; ordered action-candidate chain with common selection tail	calls all four action eligibility helpers then actor_set_action; reads definition action bytes and current actor state	a0 is signed player distance; no result escapes	absent from vendored/FID inventories	actor_select_next_action	void actor_select_next_action(s32 player_distance)	supported; exact action enum labels remain unknown
GAME.EXE	0x8002e6a8	0x2ac	actor-awareness	no reconstruction unit	25 CFG blocks governing lifecycle 0, 1, and 2 transitions	calls actor_distance_to_point, actor_pool_find_overlap, actor_initialize_current, and actor_select_next_action; reads current actor/definition	no live arguments or return value; all state is the bound actor context	absent from vendored/FID inventories	actor_update_awareness	void actor_update_awareness(void)	supported; lifecycle enum labels remain descriptive
